Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;;ST (C);Striker;;AM (LC), ST (C);;;;;;;;;;;;Unknown;Speed;England;Very Strong;Ireland;False;Weak;175 cm;26;Okay;;Above Average;;;;;;;;;;;;;Ireland;Lower Saxony;;;;;;;Dundalk;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (C);Attacking midfielder;;M (C), AM (RLC);;;;;;;;;;;;Unknown;Skill;Netherlands;Very Strong;Ireland;True;Weak;178 cm;26;Scouting Required;;Very Low;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;St. Pat's Athletic;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Forward;;;;;;;;;;;;;;Unknown;Unknown;Mali;Very Strong;N.Ireland;;Weak;;;;;;;;;;;;;;;;;;N.Ireland;Saudi Premier Division;;;;;;;Coleraine;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;England;Very Strong;England;;Fairly Strong;;;;;;;;;;;;;;;;;;England;Sky Bet League One;;;;;;;Plymouth;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;Guinea;Weak;Ireland;;Very Strong;;;;;;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Drogheda Utd;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;Nigeria;Very Strong;Nigeria;;Weak;;;;;;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;Sheffield United;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;Ireland;Very Strong;N.Ireland;;Weak;;;;;;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;Spain;Very Weak;Ireland;;Very Strong;;;;;;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Shamrock Rovers;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;Ghana;Very Strong;Ireland;;Weak;;;;;;;;;;;;;;;;;;Ireland;First Division;;;;;;;Dundalk;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Centre-back;;;;;;;;;;;;;;Unknown;Unknown;Scotland;Very Strong;Ireland;;Reasonable;;;;;;;;;;;;;;;;;;Scotland;William Hill Premiership;;;;;;;Hibernian;;;;;;;;;;;;;;;;;;;;Scouting Required
;Beñat Turrientes;12;M (C);Midfielder;Yes;DM, M (C);14;13;8;13;12;14;13;10;12;14;;Unknown;Team Player;Italy;Very Strong;;True;Fairly Strong;179 cm;23;Okay;Extensive Knowledge;Average;13;6;15;1;15;7;1;14;10;12;10;8;;R1 - Occitanie - A;15;13;14;12;12;12;;13;10;12;13;11;14;12;14;4;3;3;4;3;1;1;3;3;1;€56M - €82M;Scouting Required
;Abdul Fatawu;17;AM (R);Winger;Yes;M/AM (R);15;11;8;11;15;11;12;11;6;14;;Unknown;Speed;Nigeria;Weak;;False;Very Strong;177 cm;21;Superb;Extensive Knowledge;Above Average;7;10;12;6;14;5;2;12;13;16;12;11;England;;12;12;12;10;12;8;;11;15;11;10;14;12;10;12;2;1;1;3;2;1;3;3;2;3;€28M - €35M;Scouting Required
Loa;Ander Barrenetxea;14;AM (L);Winger;Yes;M/AM (RL);14;15;8;13;15;13;12;10;8;15;;Unknown;Speed;Ireland;Very Strong;;True;Fairly Strong;175 cm;23;Okay;Extensive Knowledge;High;8;14;13;7;11;8;1;12;14;16;14;12;;;14;14;15;12;15;12;;13;15;13;14;12;13;12;13;1;1;1;3;3;1;1;3;4;2;€75M;Scouting Required
;Luiz Henrique;16;AM (R);Winger;Yes;AM (RL);15;14;12;15;15;14;12;8;7;17;;Unknown;Speed;Ireland;Reasonable;;False;Very Strong;182 cm;24;Good;Extensive Knowledge;Very Low;11;13;14;7;13;11;2;13;10;17;11;10;;;12;12;12;11;13;8;;12;15;14;10;10;13;13;12;3;1;3;3;2;2;3;1;3;1;€31M - €45M;Scouting Required
;Fábio Carvalho;15;AM (L);Attacking midfielder;Yes;AM (RLC), ST (C);16;11;8;13;14;11;8;11;8;15;;Unknown;Speed;England;Very Strong;;True;Reasonable;170 cm;23;Okay;Extensive Knowledge;Average;8;12;13;5;11;7;2;14;12;15;11;12;England;Second Division;12;12;14;8;13;7;;12;15;14;11;12;13;13;11;3;3;3;2;1;3;3;2;2;3;€41M - €50M;Scouting Required
;Lutsharel Geertruida;13;D (C);Centre-back;Yes;D (RLC), WB (R), DM;13;15;13;14;13;14;14;8;13;13;;Unknown;Team Player;Pays Basque;Very Strong;;True;Reasonable;184 cm;25;Slightly Poor;Extensive Knowledge;Above Average;13;12;14;13;9;14;2;13;8;12;11;8;England;National 3 - Group E;15;16;13;13;12;13;;12;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;€15.5M - €23M;Scouting Required
;Joshua Zirkzee;12;ST (C);Unpredictable striker;Yes;AM (C), ST (C);14;13;13;15;12;14;14;11;5;18;;Unknown;Unknown;;Very Strong;;True;Fairly Strong;193 cm;24;Fairly Good;Extensive Knowledge;Average;6;13;16;3;12;12;1;15;13;17;9;4;England;Second League;12;18;16;6;14;9;;14;19;13;13;8;13;15;9;1;3;2;1;3;3;2;3;2;3;€52M - €77M;Scouting Required
;Amar Dedić;14;WB (R);Attacking full-back;Yes;D/WB (R);16;12;10;12;15;14;12;7;12;15;;Unknown;Speed;;Very Strong;;True;Fairly Strong;180 cm;23;Fair;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;;;15;9;13;11;16;12;;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;€18M - €22M;Scouting Required
;Malcom;16;AM (R);Winger;Yes;M (R), AM (RLC);17;16;6;13;11;12;10;14;5;16;;Unknown;Skill;;Fairly Strong;;False;Very Strong;171 cm;28;Superb;Extensive Knowledge;Very Low;5;10;15;6;14;9;1;16;14;17;13;14;;Premier Division;11;10;15;7;16;8;;13;17;15;11;8;13;15;9;2;3;2;3;1;2;1;2;1;1;€51M - €62M;Scouting Required
;Mats Wieffer;13;DM;Tireless defensive midfielder;Yes;D (RC), DM, M (C);12;12;14;14;14;15;12;11;12;13;;Unknown;Team Player;;Very Strong;;True;Fairly Strong;188 cm;25;Fairly Good;Extensive Knowledge;Below Average;16;10;13;7;11;13;3;13;6;11;7;11;England;Premier League;16;16;14;12;12;13;;14;10;15;14;14;14;14;15;2;3;3;3;3;4;3;2;4;3;€45M - €53M;Scouting Required
;Eddie Nketiah;15;ST (C);Striker;Yes;AM (LC), ST (C);15;15;9;14;15;14;11;5;7;14;;Unknown;Speed;;Very Strong;England;False;Fairly Strong;175 cm;26;Okay;Extensive Knowledge;Above Average;7;14;12;6;9;14;3;12;14;13;12;6;England;Lower Saxony;13;15;11;9;14;7;;11;15;14;11;13;14;13;12;2;3;1;1;3;2;2;1;1;3;€13M;Scouting Required
;Rodrigo Zalazar;11-17;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);11-15;16-20;5-11;11-17;12-16;11-15;10-14;14-18;5-11;14-18;;Unknown;Skill;;Very Strong;;True;Reasonable;178 cm;26;Scouting Required;Minimal Knowledge;Very Low;12-16;12-16;12-18;4-8;12-16;9-13;1-4;13-17;15-19;12-16;12-18;11-17;;;15-19;10-14;12-16;11-15;12-16;8-14;;10-14;12-18;16-20;5-11;16-20;10-14;8-12;16-20;1-3;1-4;1-4;3-7;2-6;1-4;1-5;1-2;1-4;1-7;€50M;Scouting Required
Inj;;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;10;10;13;13;12;8;14;14;;Unknown;Intelligence;Mali;Very Strong;N.Ireland;False;Reasonable;180 cm;25;Very Good;Extensive Knowledge;High;15;10;15;10;11;12;3;14;9;12;9;8;England;Saudi Premier Division;14;14;15;14;12;10;;13;10;15;13;14;13;15;14;2;4;3;1;1;1;2;2;3;2;€41M - €50M;Scouting Required
Wnt;;13;D (L);Full-back;Yes;D (LC), WB (L);12;12;11;15;12;14;12;10;11;13;;Unknown;Team Player;England;Reasonable;England;True;Very Strong;181 cm;22;Extremely Good;Extensive Knowledge;Average;13;5;12;12;9;11;1;12;8;12;12;12;England;;15;14;12;10;12;10;;12;11;17;12;15;13;12;15;3;2;2;1;3;3;4;1;3;3;€14.5M - €22M;Scouting Required
;;8;GK;Strong goalkeeper;Yes;GK;15;12;14;11;7;12;15;6;1;12;;Unknown;Unknown;Guinea;Very Strong;England;False;Weak;190 cm;27;Good;Extensive Knowledge;Low;2;3;12;1;3;6;13;12;1;3;1;5;England;Premier League;10;14;13;12;9;12;;12;10;17;12;12;12;13;15;15;11;14;15;10;15;14;15;10;14;€27M - €39M;Scouting Required
;;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;;Unknown;Speed;Nigeria;Very Strong;England;False;Reasonable;182 cm;25;Fairly Okay;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;England;Premier League;12;15;15;8;16;8;;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;€46M - €57M;Scouting Required
;;18;AM (R);Winger;Yes;AM (RL);17;15;6;16;15;13;8;13;5;16;;Unknown;Speed;Ireland;Reasonable;N.Ireland;True;Very Strong;170 cm;26;Really Good;Extensive Knowledge;Below Average;6;10;14;4;13;5;1;14;12;16;12;13;;Sky Bet Championship;11;11;13;7;14;5;;12;15;12;11;14;13;13;9;3;3;3;1;2;4;1;3;3;3;€57M - €83M;Scouting Required
Inj;;14;D (L);Full-back;Yes;D/WB (RL);14;11;11;13;14;13;11;9;12;13;;Unknown;Team Player;Spain;Strong;Ireland;False;Very Strong;185 cm;23;Quite Good;Extensive Knowledge;Above Average;12;8;12;11;13;11;3;12;9;14;13;11;England;Premier League;14;15;13;13;12;8;;12;13;15;12;12;12;13;15;3;1;1;2;3;1;2;1;1;2;€64M - €79M;Scouting Required
;;14;M (C);Attacking midfielder;Yes;M (C), AM (RLC);13;15;12;13;13;16;12;9;8;14;;Unknown;Skill;England;Very Strong;;False;Weak;180 cm;29;Okay;Extensive Knowledge;Below Average;11;11;14;4;13;8;2;13;13;14;14;9;England;Premier League;15;15;15;14;15;8;;15;15;15;13;9;14;13;10;1;2;4;1;1;1;1;2;1;2;€40M - €59M;Scouting Required
;;11;M (C);Tireless defensive midfielder;Yes;WB (RL), DM, M (C);10;13;8;19;10;16;13;9;13;14;;Unknown;Team Player;Scotland;Very Strong;England;False;Weak;176 cm;39;Fairly Good;Extensive Knowledge;High;13;16;14;13;7;9;1;15;11;9;12;13;England;Premier League;17;18;12;13;12;17;;16;9;19;14;15;14;13;17;2;1;3;3;4;2;1;1;1;1;€350K - €3.6M;Scouting Required
;;;DM;Defensive midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Athleticism;Russia;Very Strong;Ireland;False;Reasonable;186 cm;23;Fairly Good;;Above Average;;;;;;;;;;;;;England;Sky Bet League Two;;;;;;;Salford;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;France;Very Weak;France;;Very Weak;;;;;;;;;;;;;;;;;;Türkiye;Second Division;;;;;;;Alanyaspor;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;;Weak;Ireland;;Very Strong;;;;;;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Shelbourne;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;;Very Strong;Ireland;;Weak;;;;;;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Shelbourne;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;;Very Strong;Ireland;;Weak;;;;;;;;;;;;;;;;;;N.Ireland;NIFL Premiership;;;;;;;Glenavon;;;;;;;;;;;;;;;;;;;;Scouting Required
Loa;Ander Barrenetxea;14;AM (L);Winger;Yes;M/AM (RL);14;15;8;13;15;13;12;10;8;15;A;Unknown;Speed;Ireland;Very Strong;Spain;True;Fairly Strong;175 cm;23;Okay;Extensive Knowledge;High;8;14;13;7;11;8;1;12;14;16;14;12;Spain;First Division;14;14;15;12;15;12;Real San Sebastián;13;15;13;14;12;13;12;13;1;1;1;3;3;1;1;3;4;2;€75M;A
;Luiz Henrique;16;AM (R);Winger;Yes;AM (RL);15;14;12;15;15;14;12;8;7;17;A;Unknown;Speed;Ireland;Reasonable;Brazil;False;Very Strong;182 cm;24;Good;Extensive Knowledge;Very Low;11;13;14;7;13;11;2;13;10;17;11;10;Russia;Premier League;12;12;12;11;13;8;Zenit;12;15;14;10;10;13;13;12;3;1;3;3;2;2;3;1;3;1;€31M - €45M;A
;Fábio Carvalho;15;AM (L);Attacking midfielder;Yes;AM (RLC), ST (C);16;11;8;13;14;11;8;11;8;15;A;Unknown;Speed;England;Very Strong;Portugal;True;Reasonable;170 cm;23;Okay;Extensive Knowledge;Average;8;12;13;5;11;7;2;14;12;15;11;12;England;Second Division;12;12;14;8;13;7;Brentford;12;15;14;11;12;13;13;11;3;3;3;2;1;3;3;2;2;3;€41M - €50M;A
;Lutsharel Geertruida;13;D (C);Centre-back;Yes;D (RLC), WB (R), DM;13;15;13;14;13;14;14;8;13;13;A;Unknown;Team Player;Pays Basque;Very Strong;Netherlands;True;Reasonable;184 cm;25;Slightly Poor;Extensive Knowledge;Above Average;13;12;14;13;9;14;2;13;8;12;11;8;England;National 3 - Group E;15;16;13;13;12;13;Sunderland;12;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;€15.5M - €23M;A
;Joshua Zirkzee;12;ST (C);Unpredictable striker;Yes;AM (C), ST (C);14;13;13;15;12;14;14;11;5;18;A;Unknown;Unknown;Nigeria;Very Strong;Netherlands;True;Fairly Strong;193 cm;24;Fairly Good;Extensive Knowledge;Average;6;13;16;3;12;12;1;15;13;17;9;4;England;Second League;12;18;16;6;14;9;Man Utd;14;19;13;13;8;13;15;9;1;3;2;1;3;3;2;3;2;3;€52M - €77M;A
;Amar Dedić;14;WB (R);Attacking full-back;Yes;D/WB (R);16;12;10;12;15;14;12;7;12;15;A;Unknown;Speed;Austria;Very Strong;Austria;True;Fairly Strong;180 cm;23;Fair;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;Portugal;Premier League;15;9;13;11;16;12;Benfica;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;€18M - €22M;A
;Malcom;16;AM (R);Winger;Yes;M (R), AM (RLC);17;16;6;13;11;12;10;14;5;16;A-;Unknown;Skill;Russia;Fairly Strong;Brazil;False;Very Strong;171 cm;28;Superb;Extensive Knowledge;Very Low;5;10;15;6;14;9;1;16;14;17;13;14;Saudi Arabia;Premier Division;11;10;15;7;16;8;Al-Hilal;13;17;15;11;8;13;15;9;2;3;2;3;1;2;1;2;1;1;€51M - €62M;A-
;Mats Wieffer;13;DM;Tireless defensive midfielder;Yes;D (RC), DM, M (C);12;12;14;14;14;15;12;11;12;13;A-;Unknown;Team Player;;Very Strong;Netherlands;True;Fairly Strong;188 cm;25;Fairly Good;Extensive Knowledge;Below Average;16;10;13;7;11;13;3;13;6;11;7;11;England;Premier League;16;16;14;12;12;13;Brighton;14;10;15;14;14;14;14;15;2;3;3;3;3;4;3;2;4;3;€45M - €53M;A-
;Eddie Nketiah;15;ST (C);Striker;Yes;AM (LC), ST (C);15;15;9;14;15;14;11;5;7;14;A-;Unknown;Speed;Ghana;Very Strong;England;False;Fairly Strong;175 cm;26;Okay;Extensive Knowledge;Above Average;7;14;12;6;9;14;3;12;14;13;12;6;England;Lower Saxony;13;15;11;9;14;7;Crystal Palace;11;15;14;11;13;14;13;12;2;3;1;1;3;2;2;1;1;3;€13M;A-
;Rodrigo Zalazar;11-17;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);11-15;16-20;5-11;11-17;12-16;11-15;10-14;14-18;5-11;14-18;A-;Unknown;Skill;Spain;Very Strong;Spain;True;Reasonable;178 cm;26;Scouting Required;Minimal Knowledge;Very Low;12-16;12-16;12-18;4-8;12-16;9-13;1-4;13-17;15-19;12-16;12-18;11-17;Portugal;Premier League;15-19;10-14;12-16;11-15;12-16;8-14;BRG;10-14;12-18;16-20;5-11;16-20;10-14;8-12;16-20;1-3;1-4;1-4;3-7;2-6;1-4;1-5;1-2;1-4;1-7;€50M;A-
Inj;Cheick Doucouré;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;10;10;13;13;12;8;14;14;A-;Unknown;Intelligence;Mali;Very Strong;Mali;False;Reasonable;180 cm;25;Very Good;Extensive Knowledge;High;15;10;15;10;11;12;3;14;9;12;9;8;England;Saudi Premier Division;14;14;15;14;12;10;Crystal Palace;13;10;15;13;14;13;15;14;2;4;3;1;1;1;2;2;3;2;€41M - €50M;A-
Wnt;Victor Kristiansen;13;D (L);Full-back;Yes;D (LC), WB (L);12;12;11;15;12;14;12;10;11;13;A-;Unknown;Team Player;England;Reasonable;Denmark;True;Very Strong;181 cm;22;Extremely Good;Extensive Knowledge;Average;13;5;12;12;9;11;1;12;8;12;12;12;England;Sky Bet Championship;15;14;12;10;12;10;Leicester;12;11;17;12;15;13;12;15;3;2;2;1;3;3;4;1;3;3;€14.5M - €22M;A-
;Aaron Ramsdale;8;GK;Strong goalkeeper;Yes;GK;15;12;14;11;7;12;15;6;1;12;A-;Unknown;Unknown;Guinea;Very Strong;England;False;Weak;190 cm;27;Good;Extensive Knowledge;Low;2;3;12;1;3;6;13;12;1;3;1;5;England;Premier League;10;14;13;12;9;12;Newcastle;12;10;17;12;12;12;13;15;15;11;14;15;10;15;14;15;10;14;€27M - €39M;A-
;Emile Smith Rowe;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;A-;Unknown;Speed;Nigeria;Very Strong;England;False;Reasonable;182 cm;25;Fairly Okay;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;England;Premier League;12;15;15;8;16;8;Fulham;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;€46M - €57M;A-
;Moussa Diaby;18;AM (R);Winger;Yes;AM (RL);17;15;6;16;15;13;8;13;5;16;A-;Unknown;Speed;Mali;Reasonable;France;True;Very Strong;170 cm;26;Really Good;Extensive Knowledge;Below Average;6;10;14;4;13;5;1;14;12;16;12;13;Saudi Arabia;Sky Bet Championship;11;11;13;7;14;5;Al-Ittihad;12;15;12;11;14;13;13;9;3;3;3;1;2;4;1;3;3;3;€57M - €83M;A-
Inj;Aaron Hickey;14;D (L);Full-back;Yes;D/WB (RL);14;11;11;13;14;13;11;9;12;13;A-;Unknown;Team Player;Spain;Strong;Scotland;False;Very Strong;185 cm;23;Quite Good;Extensive Knowledge;Above Average;12;8;12;11;13;11;3;12;9;14;13;11;England;Premier League;14;15;13;13;12;8;Brentford;12;13;15;12;12;12;13;15;3;1;1;2;3;1;2;1;1;2;€64M - €79M;A-
;Alex Iwobi;14;M (C);Attacking midfielder;Yes;M (C), AM (RLC);13;15;12;13;13;16;12;9;8;14;A-;Unknown;Skill;England;Very Strong;Nigeria;False;Weak;180 cm;29;Okay;Extensive Knowledge;Below Average;11;11;14;4;13;8;2;13;13;14;14;9;England;Premier League;15;15;15;14;15;8;Fulham;15;15;15;13;9;14;13;10;1;2;4;1;1;1;1;2;1;2;€40M - €59M;A-
;James Milner;11;M (C);Tireless defensive midfielder;Yes;WB (RL), DM, M (C);10;13;8;19;10;16;13;9;13;14;A-;Unknown;Team Player;Scotland;Very Strong;England;False;Weak;176 cm;39;Fairly Good;Extensive Knowledge;High;13;16;14;13;7;9;1;15;11;9;12;13;England;Premier League;17;18;12;13;12;17;Brighton;16;9;19;14;15;14;13;17;2;1;3;3;4;2;1;1;1;1;€350K - €3.6M;A-
;Dion Lopy;11;DM;Defensive midfielder;Yes;DM, M (C);11;13;13;13;11;15;15;7;10;15;A-;Unknown;Athleticism;Russia;Very Strong;Senegal;False;Fairly Strong;186 cm;23;Fairly Good;Extensive Knowledge;Above Average;10;12;15;9;10;11;2;14;9;12;14;12;Spain;Saudi Premier Division;13;13;12;14;13;12;Almería;12;12;12;13;12;11;10;14;1;1;1;2;1;2;2;2;3;3;€11M - €13.5M;A-
;Antonee Robinson;17;D (L);Full-back;Yes;D/WB (L);13;13;13;14;17;16;14;7;12;13;A-;Unknown;Speed;England;Weak;England;False;Very Strong;183 cm;28;Fairly Good;Extensive Knowledge;Above Average;15;8;13;6;7;11;1;13;7;14;14;3;England;Second Division;17;14;12;14;13;14;Fulham;12;11;12;11;13;11;15;14;3;2;1;3;1;3;3;4;1;3;€57M - €68M;A-
;Pape Matar Sarr;14;DM;Midfielder;Yes;DM, M/AM (C);14;15;12;14;13;16;14;8;12;13;A-;Unknown;Team Player;;Very Strong;Senegal;False;Reasonable;184 cm;23;Quite Good;Extensive Knowledge;Average;13;9;13;8;10;10;2;14;9;13;7;7;England;Premier League;14;14;12;14;13;10;;12;13;16;15;11;15;16;16;2;1;2;2;2;1;3;3;1;2;€41M - €50M;A-
;Luka Sučić;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;6;15;A-;Marking;Speed;;Fairly Strong;Austria;True;Very Strong;185 cm;23;Fairly Okay;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;First Division;13;13;13;6;14;9;Real San Sebastián;12;12;15;11;8;11;13;13;1;2;3;4;1;1;3;2;1;1;€24M - €28M;A-
;Jean-Baptiste Gorby;13;DM;Defensive midfielder;Yes;DM, M (C);15;13;12;15;14;15;10;8;10;13;A-;Marking;Athleticism;;Very Strong;;True;Fairly Strong;183 cm;23;Very Good;Extensive Knowledge;Very Low;9;12;15;8;13;9;2;12;12;11;11;11;Portugal;Premier League;13;14;9;13;13;8;BRG;13;11;13;7;13;14;15;11;3;1;3;1;3;1;3;2;2;2;€15M - €22M;A-
;;16;AM (L);Winger;Yes;M/AM (RL);14;9;10;11;15;12;8;9;6;16;;Unknown;Speed;Italy;Very Strong;England;False;Fairly Strong;181 cm;23;Quite Good;Extensive Knowledge;Low;10;8;12;3;16;6;1;13;15;15;13;9;England;R1 - Occitanie - A;15;11;11;11;13;7;;10;16;9;7;8;10;13;12;3;3;3;1;3;2;2;1;2;1;€31M - €45M;Scouting Required
;;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;9;13;12;13;10;9;7;12;;Unknown;Team Player;Nigeria;Very Strong;Spain;True;Fairly Strong;179 cm;22;Fair;Extensive Knowledge;Low;14;10;13;6;12;10;1;13;11;9;11;11;Spain;First Division;14;15;13;14;10;12;;13;11;12;13;10;13;14;14;3;2;1;1;2;1;1;1;1;4;€12M;Scouting Required
;;15;D (R);Full-back;Yes;D/WB (R);14;16;12;8;14;16;14;7;13;12;;Unknown;Team Player;;Very Strong;France;True;Reasonable;178 cm;25;Quite Good;Extensive Knowledge;Very Low;15;10;12;13;8;8;2;12;7;13;11;8;Ireland;First Division;17;13;11;13;12;8;;11;12;15;12;16;11;13;16;1;2;3;4;2;2;2;2;1;3;€4.5M - €8.2M;Scouting Required
