Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Eddie Nketiah;15;ST (C);Striker;Yes;AM (LC), ST (C);15;15;9;14;15;14;11;5;7;14;A-;Unknown;Speed;Ghana;Very Strong;England;False;Fairly Strong;175 cm;26;Okay;Extensive Knowledge;Above Average;7;14;12;6;9;14;3;12;14;13;12;6;England;Premier League;13;15;11;9;14;7;Crystal Palace;11;15;14;11;13;14;13;12;2;3;1;1;3;2;2;1;1;3;€13M;A-
;Rodrigo Zalazar;11-17;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);11-15;16-20;5-11;11-17;12-16;11-15;10-14;14-18;5-11;14-18;A-;Unknown;Skill;Spain;Very Strong;Spain;True;Reasonable;178 cm;26;Scouting Required;Minimal Knowledge;Very Low;12-16;12-16;12-18;4-8;12-16;9-13;1-4;13-17;15-19;12-16;12-18;11-17;Portugal;Second Division;15-19;10-14;12-16;11-15;12-16;8-14;BRG;10-14;12-18;16-20;5-11;16-20;10-14;8-12;16-20;1-3;1-4;1-4;3-7;2-6;1-4;1-5;1-2;1-4;1-7;€50M;A-
Inj;Cheick Doucouré;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;10;10;13;13;12;8;14;14;A-;Unknown;Intelligence;France;Very Strong;Mali;False;Reasonable;180 cm;25;Very Good;Extensive Knowledge;High;15;10;15;10;11;12;3;14;9;12;9;8;England;Premier League;14;14;15;14;12;10;Crystal Palace;13;10;15;13;14;13;15;14;2;4;3;1;1;1;2;2;3;2;€41M - €50M;A-
Wnt;Victor Kristiansen;13;D (L);Full-back;Yes;D (LC), WB (L);12;12;11;15;12;14;12;10;11;13;A-;Unknown;Team Player;Scotland;Reasonable;Denmark;True;Very Strong;181 cm;22;Extremely Good;Extensive Knowledge;Average;13;5;12;12;9;11;1;12;8;12;12;12;England;Sky Bet Championship;15;14;12;10;12;10;Leicester;12;11;17;12;15;13;12;15;3;2;2;1;3;3;4;1;3;3;€14.5M - €22M;A-
;Aaron Ramsdale;8;GK;Strong goalkeeper;Yes;GK;15;12;14;11;7;12;15;6;1;12;A-;Unknown;Unknown;Morocco;Very Strong;England;False;Weak;190 cm;27;Good;Extensive Knowledge;Low;2;3;12;1;3;6;13;12;1;3;1;5;England;Premier League;10;14;13;12;9;12;Newcastle;12;10;17;12;12;12;13;15;15;11;14;15;10;15;14;15;10;14;€27M - €39M;A-
;Emile Smith Rowe;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;A-;Unknown;Speed;Ivory Coast;Very Strong;England;False;Reasonable;182 cm;25;Fairly Okay;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;England;Premier League;12;15;15;8;16;8;Fulham;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;€46M - €57M;A-
;Moussa Diaby;18;AM (R);Winger;Yes;AM (RL);17;15;6;16;15;13;8;13;5;16;A-;Unknown;Speed;Mali;Reasonable;France;True;Very Strong;170 cm;26;Really Good;Extensive Knowledge;Below Average;6;10;14;4;13;5;1;14;12;16;12;13;Saudi Arabia;National 2 - A;11;11;13;7;14;5;Al-Ittihad;12;15;12;11;14;13;13;9;3;3;3;1;2;4;1;3;3;3;€57M - €83M;A-
Inj;Aaron Hickey;14;D (L);Full-back;Yes;D/WB (RL);14;11;11;13;14;13;11;9;12;13;A-;Unknown;Team Player;;Strong;Scotland;False;Very Strong;185 cm;23;Quite Good;Extensive Knowledge;Above Average;12;8;12;11;13;11;3;12;9;14;13;11;England;Premier League;14;15;13;13;12;8;Brentford;12;13;15;12;12;12;13;15;3;1;1;2;3;1;2;1;1;2;€64M - €79M;A-
;Alex Iwobi;14;M (C);Attacking midfielder;Yes;M (C), AM (RLC);13;15;12;13;13;16;12;9;8;14;A-;Unknown;Skill;England;Very Strong;Nigeria;False;Weak;180 cm;29;Okay;Extensive Knowledge;Below Average;11;11;14;4;13;8;2;13;13;14;14;9;England;Premier League;15;15;15;14;15;8;Fulham;15;15;15;13;9;14;13;10;1;2;4;1;1;1;1;2;1;2;€40M - €59M;A-
;James Milner;11;M (C);Tireless defensive midfielder;Yes;WB (RL), DM, M (C);10;13;8;19;10;16;13;9;13;14;A-;Unknown;Team Player;France;Very Strong;England;False;Weak;176 cm;39;Fairly Good;Extensive Knowledge;High;13;16;14;13;7;9;1;15;11;9;12;13;England;Premier League;17;18;12;13;12;17;Brighton;16;9;19;14;15;14;13;17;2;1;3;3;4;2;1;1;1;1;€350K - €3.6M;A-
;;;DM;Defensive midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Athleticism;Ghana;Very Strong;England;False;Fairly Strong;186 cm;23;Fairly Good;;Above Average;;;;;;;;;;;;;Spain;Sky Bet Championship;;;;;;;Ipswich;;;;;;;;;;;;;;;;;;;;Terrific
;;;D (L);Full-back;;D/WB (L);;;;;;;;;;;;Unknown;Speed;England;Very Strong;England;False;Weak;183 cm;28;Fairly Good;;Above Average;;;;;;;;;;;;;England;Premier League;;;;;;;Wolves;;;;;;;;;;;;;;;;;;;;Superb
;;;DM;Midfielder;;DM, M/AM (C);;;;;;;;;;;;Unknown;Team Player;;Very Strong;Senegal;False;Fairly Strong;184 cm;23;Quite Good;;Average;;;;;;;;;;;;;England;Second Division;;;;;;;Almería;;;;;;;;;;;;;;;;;;;;Terrific
;;;M (C);Midfielder;;M/AM (C);;;;;;;;;;;;Marking;Speed;Pays Basque;Weak;Austria;True;Very Strong;185 cm;23;Fairly Okay;;Average;;;;;;;;;;;;;Spain;National 3 - Group D;;;;;;;Fulham;;;;;;;;;;;;;;;;;;;;Terrific
;;;DM;Defensive midfielder;;DM, M (C);;;;;;;;;;;;Marking;Athleticism;Ivory Coast;Very Strong;Senegal;True;Reasonable;183 cm;23;Very Good;;Very Low;;;;;;;;;;;;;Portugal;Second League;;;;;;;;;;;;;;;;;;;;;;;;;;;Terrific
;;;AM (L);Winger;;M/AM (RL);;;;;;;;;;;;Unknown;Speed;Bosnia & Herzegovina;Fairly Strong;England;False;Very Strong;181 cm;23;Quite Good;;Low;;;;;;;;;;;;;England;Second Division;;;;;;;Real San Sebastián;;;;;;;;;;;;;;;;;;;;Terrific
;;;DM;Defensive midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Team Player;Haiti;Very Strong;Spain;True;Fairly Strong;179 cm;22;Fair;;Low;;;;;;;;;;;;;Spain;Premier League;;;;;;;;;;;;;;;;;;;;;;;;;;;Terrific
;;;D (R);Full-back;;D/WB (R);;;;;;;;;;;;Unknown;Team Player;France;Very Strong;France;True;Fairly Strong;178 cm;25;Quite Good;;Very Low;;;;;;;;;;;;;Spain;First Division;;;;;;;Atlético Pamplona;;;;;;;;;;;;;;;;;;;;Terrific
;;;D (L);Full-back;;D (L);;;;;;;;;;;;Heading;Team Player;Cameroon;Very Strong;Netherlands;True;Reasonable;169 cm;26;Really Good;;Below Average;;;;;;;;;;;;;England;Saudi Premier Division;;;;;;;Galatasaray;;;;;;;;;;;;;;;;;;;;Terrific
;;;;Full-back;;;;;;;;;;;;;;Heading;Team Player;Curaçao;Reasonable;Netherlands;;Very Strong;;;;;;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;Middlesbrough;;;;;;;;;;;;;;;;;;;;Terrific
;;;;Full-back;;;;;;;;;;;;;;Unknown;Speed;France;Weak;Spain;;Very Strong;;;;;;;;;;;;;;;;;;Spain;Lower Saxony;;;;;;;Atlético Pamplona;;;;;;;;;;;;;;;;;;;;Terrific
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;U.S.A.;Weak;Argentina;;Very Strong;;;;;;;;;;;;;;;;;;U.S.A.;MLS;;;;;;;Orlando City;;;;;;;;;;;;;;;;;;;;Regular starter who could still improve
;;;;Goalkeeper;;;;;;;;;;;;;;Unknown;Unknown;;Very Strong;England;;Weak;;;;;;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;West Brom;;;;;;;;;;;;;;;;;;;;Fringe player who could still improve
;;;;Centre-back;;;;;;;;;;;;;;Unknown;Heading;England;Reasonable;England;;Very Strong;;;;;;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;Portsmouth;;;;;;;;;;;;;;;;;;;;Fringe player who could still improve
;;11;DM;Defensive midfielder;Yes;DM, M (C);11;13;13;13;11;15;15;7;10;15;;Unknown;Athleticism;Ghana;Very Strong;England;False;Fairly Strong;186 cm;23;Fairly Good;Extensive Knowledge;Above Average;10;12;15;9;10;11;2;14;9;12;14;12;Spain;Sky Bet Championship;13;13;12;14;13;12;Ipswich;12;12;12;13;12;11;10;14;1;1;1;2;1;2;2;2;3;3;€11M - €13.5M;Terrific
;;17;D (L);Full-back;Yes;D/WB (L);13;13;13;14;17;16;14;7;12;13;;Unknown;Speed;England;Weak;England;False;Very Strong;183 cm;28;Fairly Good;Extensive Knowledge;Above Average;15;8;13;6;7;11;1;13;7;14;14;3;England;Premier League;17;14;12;14;13;14;Wolves;12;11;12;11;13;11;15;14;3;2;1;3;1;3;3;4;1;3;€57M - €68M;Superb
;;14;DM;Midfielder;Yes;DM, M/AM (C);14;15;12;14;13;16;14;8;12;13;;Unknown;Team Player;;Very Strong;Senegal;False;Reasonable;184 cm;23;Quite Good;Extensive Knowledge;Average;13;9;13;8;10;10;2;14;9;13;7;7;England;Second Division;14;14;12;14;13;10;Almería;12;13;16;15;11;15;16;16;2;1;2;2;2;1;3;3;1;2;€41M - €50M;Terrific
Loa;;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;6;15;;Marking;Speed;Pays Basque;Fairly Strong;Austria;True;Very Strong;185 cm;23;Fairly Okay;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;National 3 - Group D;13;13;13;6;14;9;Fulham;12;12;15;11;8;11;13;13;1;2;3;4;1;1;3;2;1;1;€24M - €28M;Terrific
;;13;DM;Defensive midfielder;Yes;DM, M (C);15;13;12;15;14;15;10;8;10;13;;Marking;Athleticism;Ivory Coast;Very Strong;Senegal;True;Fairly Strong;183 cm;23;Very Good;Extensive Knowledge;Very Low;9;12;15;8;13;9;2;12;12;11;11;11;Portugal;Second League;13;14;9;13;13;8;;13;11;13;7;13;14;15;11;3;1;3;1;3;1;3;2;2;2;€15M - €22M;Terrific
;;16;AM (L);Winger;Yes;M/AM (RL);14;9;10;11;15;12;8;9;6;16;;Unknown;Speed;Bosnia & Herzegovina;Very Strong;England;False;Fairly Strong;181 cm;23;Quite Good;Extensive Knowledge;Low;10;8;12;3;16;6;1;13;15;15;13;9;England;Second Division;15;11;11;11;13;7;Real San Sebastián;10;16;9;7;8;10;13;12;3;3;3;1;3;2;2;1;2;1;€31M - €45M;Terrific
;;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;9;13;12;13;10;9;7;12;;Unknown;Team Player;Haiti;Very Strong;Spain;True;Fairly Strong;179 cm;22;Fair;Extensive Knowledge;Low;14;10;13;6;12;10;1;13;11;9;11;11;Spain;Premier League;14;15;13;14;10;12;;13;11;12;13;10;13;14;14;3;2;1;1;2;1;1;1;1;4;€12M;Terrific
;;15;D (R);Full-back;Yes;D/WB (R);14;16;12;8;14;16;14;7;13;12;;Unknown;Team Player;France;Very Strong;France;True;Reasonable;178 cm;25;Quite Good;Extensive Knowledge;Very Low;15;10;12;13;8;8;2;12;7;13;11;8;Spain;First Division;17;13;11;13;12;8;Atlético Pamplona;11;12;15;12;16;11;13;16;1;2;3;4;2;2;2;2;1;3;€4.5M - €8.2M;Terrific
;;15;D (L);Full-back;Yes;D (L);17;13;8;16;15;15;7;9;14;13;;Heading;Team Player;Cameroon;Reasonable;Netherlands;True;Very Strong;169 cm;26;Really Good;Extensive Knowledge;Below Average;13;7;12;12;8;9;1;13;7;12;13;7;England;Saudi Premier Division;16;15;9;12;13;9;Galatasaray;14;10;16;11;15;13;12;15;3;3;1;1;2;2;2;1;2;1;€1.1M;Terrific
Wnt;;14;D (L);Full-back;Yes;D/WB/M (L);12;13;13;11;17;14;14;12;12;12;;Heading;Speed;Curaçao;Weak;Spain;True;Very Strong;188 cm;25;Slightly Poor;Extensive Knowledge;Above Average;14;7;12;10;12;10;2;12;11;13;14;9;Spain;Sky Bet Championship;13;14;13;12;14;8;Middlesbrough;12;9;14;13;10;12;12;12;1;3;3;1;1;2;1;3;1;2;€20M;Terrific
;;14;AM (C);Winger;Yes;M (L), AM (RLC), ST (C);13;12;11;11;13;14;12;14;6;15;;Unknown;Unknown;France;Weak;Spain;False;Very Strong;176 cm;26;Perfect;None;Very Low;8;14;15;11;14;8;3;14;13;14;13;12;Spain;Lower Saxony;12;13;14;7;12;7;Atlético Pamplona;12;15;13;12;12;13;13;7;1;2;1;3;2;1;2;3;1;1;€9.4M - €11M;Terrific
;;12-14;GK;Goalkeeper;Yes;GK;10;11;14-16;10-12;10-12;12-14;9-11;7-10;2-4;13-15;;Unknown;Unknown;U.S.A.;Very Strong;England;False;Weak;195 cm;24;Scouting Required;Marginal Knowledge;Low;1-2;3-6;13-15;2-4;2-4;1-2;12;7-9;1-3;1-2;1-3;3-5;England;MLS;10-12;9-11;7-9;12;8-11;8;Orlando City;10;6-8;10-12;11;5-7;15;11;12;8;13;16;13;8;14;14;14;7;13;€2.3M - €5M;Regular starter who could still improve
;;11;D (C);Centre-back;Yes;D (C);10;14;15;14;13;13;15;6;11;9;;Unknown;Heading;England;Reasonable;England;True;Very Strong;190 cm;23;Fairly Okay;Reasonable Knowledge;Below Average;12;5;11;10;9;14;2;11;3;6;5;3;England;Sky Bet Championship;12;13;9;13;3;7;West Brom;9;4;16;10;7;12;11;12;2;2;2;1;1;2;2;1;2;3;€375K - €8.6M;Fringe player who could still improve
Wnt;;13;DM;Defensive midfielder;Yes;DM, M (C);14;12;11;15;13;13;14;7;14;13;;Unknown;Team Player;England;Very Strong;England;False;Weak;176 cm;24;Good;Extensive Knowledge;Average;16;10;14;11;12;10;3;14;11;14;10;10;England;Sky Bet Championship;16;16;12;15;14;10;Portsmouth;13;15;16;13;16;14;13;16;1;2;1;3;2;3;2;1;2;3;€34M - €42M;Fringe player who could still improve
;;;;Attacking full-back;;D/WB (R);;;;;;;;;;;;Unknown;Speed;Austria;Very Strong;Austria;;Fairly Strong;;;;;Very Low;;;;;;;;;;;;;Portugal;National 3 - Group C;;;;;;;Benfica;;;;;;;;;;;;;;;;;;;€18M - €22M;Excellent
;;;;Tireless defensive midfielder;;WB (RL), DM, M (C);;;;;;;;;;;;Unknown;Team Player;France;Very Strong;England;False;Weak;;;;;No recurring injuries;;;;;;;;;;;;;England;Premier League;;;;;;;Brighton;;;;;;;;;;;;;;;;;;;€350K - €3.6M;Terrific
;;;;Attacking midfielder;;M (C), AM (RLC);;;;;;;;;;;;Unknown;;England;Very Strong;Nigeria;False;Weak;;;;;Below Average;;;;;;;;;;;;;England;Premier League;;;;;;;Fulham;;;;;;;;;;;;;;;;;;;€40M - €59M;Terrific
;;;;Full-back;;D/WB (RL);;;;;;;;;;;;Unknown;Team Player;;Strong;Scotland;False;Very Strong;;;;;Above Average;;;;;;;;;;;;;England;Premier League;;;;;;;Brentford;;;;;;;;;;;;;;;;;;;€64M - €79M;Terrific
;;;;Winger;;AM (RL);;;;;;;;;;;;Unknown;Speed;Mali;Reasonable;France;;Very Strong;;;;;Below Average;;;;;;;;;;;;;Saudi Arabia;National 2 - A;;;;;;;Al-Ittihad;;;;;;;;;;;;;;;;;;;€57M - €83M;Terrific
;;;;Attacking midfielder;;M (C), AM (RLC);;;;;;;;;;;;Unknown;Speed;Ivory Coast;Very Strong;England;False;Reasonable;;;;;Very High;;;;;;;;;;;;;England;Premier League;;;;;;;Fulham;;;;;;;;;;;;;;;;;;;€46M - €57M;Terrific
;;;;Strong goalkeeper;;;;;;;;;;;;;;Unknown;Unknown;Morocco;Very Strong;England;False;Weak;;;;;No recurring injuries;;;;;;;;;;;;;England;Premier League;;;;;;;Newcastle;;;;;;;;;;;;;;;;;;;€27M - €39M;Terrific
;;;;Full-back;;D (LC), WB (L);;;;;;;;;;;;Unknown;Team Player;Scotland;Reasonable;Denmark;;Very Strong;;;;;No recurring injuries;;;;;;;;;;;;;England;Sky Bet Championship;;;;;;;Leicester;;;;;;;;;;;;;;;;;;;€14.5M - €22M;Terrific
;;;;Defensive midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Intelligence;France;Very Strong;Mali;False;Reasonable;;;;;No recurring injuries;;;;;;;;;;;;;England;Premier League;;;;;;;Crystal Palace;;;;;;;;;;;;;;;;;;;€41M - €50M;Terrific
;;;;Attacking midfielder;;M (C), AM (RLC);;;;;;;;;;;;Unknown;;Spain;Very Strong;Spain;;Reasonable;;;;;Very Low;;;;;;;;;;;;;Portugal;Second Division;;;;;;;;;;;;;;;;;;;;;;;;;;€50M;Terrific
;;;;Striker;;AM (LC), ST (C);;;;;;;;;;;;Unknown;Speed;Ghana;Very Strong;England;False;Fairly Strong;;;;;Above Average;;;;;;;;;;;;;England;Premier League;;;;;;;Crystal Palace;;;;;;;;;;;;;;;;;;;€13M;Terrific
;;;;Tireless defensive midfielder;;D (RC), DM, M (C);;;;;;;;;;;;Unknown;Team Player;Curaçao;Very Strong;Netherlands;;Fairly Strong;;;;;Below Average;;;;;;;;;;;;;England;Premier League;;;;;;;Brighton;;;;;;;;;;;;;;;;;;;€45M - €53M;Terrific
;;;;Winger;;M (R), AM (RLC);;;;;;;;;;;;Unknown;;Russia;Fairly Strong;Brazil;False;Very Strong;;;;;Very Low;;;;;;;;;;;;;Saudi Arabia;National 2 - A;;;;;;;Al-Hilal;;;;;;;;;;;;;;;;;;;€51M - €62M;Terrific
;Dion Lopy;11;DM;Defensive midfielder;Yes;DM, M (C);11;13;13;13;11;15;15;7;10;15;;Unknown;Athleticism;Ghana;Very Strong;England;False;Fairly Strong;186 cm;23;Fairly Good;Extensive Knowledge;Above Average;10;12;15;9;10;11;2;14;9;12;14;12;Spain;Sky Bet Championship;13;13;12;14;13;12;;12;12;12;13;12;11;10;14;1;1;1;2;1;2;2;2;3;3;€11M - €13.5M;Terrific
;Antonee Robinson;17;D (L);Full-back;Yes;D/WB (L);13;13;13;14;17;16;14;7;12;13;;Unknown;Speed;England;Weak;England;False;Very Strong;183 cm;28;Fairly Good;Extensive Knowledge;Above Average;15;8;13;6;7;11;1;13;7;14;14;3;England;Premier League;17;14;12;14;13;14;Fulham;12;11;12;11;13;11;15;14;3;2;1;3;1;3;3;4;1;3;€57M - €68M;Superb
;Pape Matar Sarr;14;DM;Midfielder;Yes;DM, M/AM (C);14;15;12;14;13;16;14;8;12;13;;Unknown;Team Player;;Very Strong;Senegal;False;Reasonable;184 cm;23;Quite Good;Extensive Knowledge;Average;13;9;13;8;10;10;2;14;9;13;7;7;England;Premier League;14;14;12;14;13;10;;12;13;16;15;11;15;16;16;2;1;2;2;2;1;3;3;1;2;€41M - €50M;Terrific
Loa;Luka Sučić;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;6;15;;Marking;Speed;Pays Basque;Fairly Strong;Austria;True;Very Strong;185 cm;23;Fairly Okay;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;National 3 - Group D;13;13;13;6;14;9;;12;12;15;11;8;11;13;13;1;2;3;4;1;1;3;2;1;1;€24M - €28M;Terrific
;Jean-Baptiste Gorby;13;DM;Defensive midfielder;Yes;DM, M (C);15;13;12;15;14;15;10;8;10;13;;Marking;Athleticism;Ivory Coast;Very Strong;Senegal;True;Fairly Strong;183 cm;23;Very Good;Extensive Knowledge;Very Low;9;12;15;8;13;9;2;12;12;11;11;11;Portugal;Second League;13;14;9;13;13;8;BRG;13;11;13;7;13;14;15;11;3;1;3;1;3;1;3;2;2;2;€15M - €22M;Terrific
;Jaden Philogene;16;AM (L);Winger;Yes;M/AM (RL);14;9;10;11;15;12;8;9;6;16;;Unknown;Speed;Bosnia & Herzegovina;Very Strong;England;False;Fairly Strong;181 cm;23;Quite Good;Extensive Knowledge;Low;10;8;12;3;16;6;1;13;15;15;13;9;England;Second Division;15;11;11;11;13;7;;10;16;9;7;8;10;13;12;3;3;3;1;3;2;2;1;2;1;€31M - €45M;Terrific
;Iker Muñoz;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;9;13;12;13;10;9;7;12;;Unknown;Team Player;Haiti;Very Strong;Spain;True;Fairly Strong;179 cm;22;Fair;Extensive Knowledge;Low;14;10;13;6;12;10;1;13;11;9;11;11;Spain;Premier League;14;15;13;14;10;12;;13;11;12;13;10;13;14;14;3;2;1;1;2;1;1;1;1;4;€12M;Terrific
;Sacha Boey;15;D (R);Full-back;Yes;D/WB (R);14;16;12;8;14;16;14;7;13;12;;Unknown;Team Player;France;Very Strong;France;True;Reasonable;178 cm;25;Quite Good;Extensive Knowledge;Very Low;15;10;12;13;8;8;2;12;7;13;11;8;Spain;First Division;17;13;11;13;12;8;;11;12;15;12;16;11;13;16;1;2;3;4;2;2;2;2;1;3;€4.5M - €8.2M;Terrific
;Tyrell Malacia;15;D (L);Full-back;Yes;D (L);17;13;8;16;15;15;7;9;14;13;;Heading;Team Player;Cameroon;Reasonable;Netherlands;True;Very Strong;169 cm;26;Really Good;Extensive Knowledge;Below Average;13;7;12;12;8;9;1;13;7;12;13;7;England;Saudi Premier Division;16;15;9;12;13;9;;14;10;16;11;15;13;12;15;3;3;1;1;2;2;2;1;2;1;€1.1M;Terrific
Wnt;Abel Bretones;14;D (L);Full-back;Yes;D/WB/M (L);12;13;13;11;17;14;14;12;12;12;;Heading;Speed;Curaçao;Weak;Spain;True;Very Strong;188 cm;25;Slightly Poor;Extensive Knowledge;Above Average;14;7;12;10;12;10;2;12;11;13;14;9;Spain;Sky Bet Championship;13;14;13;12;14;8;;12;9;14;13;10;12;12;12;1;3;3;1;1;2;1;3;1;2;€20M;Terrific
