Picked;Inf;Player;Style;Age;Position;Marking;Technique;Tackling;Penalty Taking;Passing;Aerial Reach;Transfer Value;Long Throws;Long Shots;Heading;Free Kick Taking;First Touch;Finishing;Dribbling;Crossing;Corners;Strength;Stamina;Pace;Natural Fitness;Balance;Jumping Reach;Agility;Acceleration;Throwing;Rushing Out (Tendency);Reflexes;Punching;One On Ones;Kicking;Handling;Eccentricity;Communication;Command Of Area;Aggression;Anticipation;Bravery;Composure;Concentration;Decisions;Determination;Flair;Leadership;Off The Ball;Positioning;Team Work;Vision;Work Rate
-;Inj;Enes Ünal;Physical;28;ST (C);6;15;6;14;10;1;€25M - €30M;6;13;13;15;14;14;13;9;6;14;14;12;12;13;13;14;12;3;1;2;3;2;3;2;3;2;3;11;12;13;13;11;12;15;14;9;14;7;12;11;13
S6;;Ryan Christie;Technical;30;DM, M (C), AM (RC);7;15;13;11;14;3;€33M - €44M;1;12;5;12;14;10;13;12;11;12;17;13;15;13;9;15;13;2;2;1;1;2;3;2;3;1;2;15;15;11;10;13;13;12;13;12;15;11;15;14;18
GK;Inj;Đorđe Petrović;Shot Stopper;25;GK;3;11;2;3;11;16;€37M - €47M;3;3;1;8;11;3;1;3;4;14;13;15;12;13;16;13;11;11;10;17;13;13;13;13;9;13;12;7;14;13;14;13;13;17;3;7;1;15;13;12;12
-;Unr;Romain Faivre;Technical;27;M/AM (RC);6;16;6;14;15;2;€22M - €29M;5;11;8;14;15;12;15;12;13;10;14;14;13;13;10;14;14;4;3;3;2;1;2;3;3;2;3;8;12;8;14;12;12;11;13;7;11;8;12;13;11
D (C);Wnt;Marcos Senesi;Technical;28;D (C);16;15;15;6;15;1;€27M - €29M;6;7;15;7;13;8;10;10;6;12;15;12;14;14;15;11;14;3;3;1;3;1;1;1;4;4;1;10;14;14;13;12;15;13;11;12;10;14;15;14;15
S4;Wnt;Evanilson;Intelligent;25;ST (C);8;16;9;13;14;2;€52M - €57M;7;10;12;8;15;15;12;8;6;16;14;14;11;17;13;13;13;3;3;2;3;1;3;3;1;1;1;13;14;12;15;12;13;13;14;10;16;5;12;14;15
D (R);;Adam Smith;Technical;34;D/WB (RL);12;13;14;4;13;2;€4.3M - €5.8M;3;9;7;6;13;7;12;12;6;9;17;13;16;11;7;13;13;2;3;3;4;2;3;3;1;4;2;10;14;13;13;12;14;14;9;14;13;15;16;9;16
AM (R);;David Brooks;Technical;28;M (R), AM (RC);7;16;10;8;15;2;€32M - €39M;4;8;8;10;14;13;15;13;9;7;11;15;9;15;6;16;14;1;1;2;3;2;1;1;3;1;1;6;14;6;15;10;15;14;16;5;15;8;13;16;15
-;Unr;Will Dennis;Distributor;25;GK;1;7;1;3;8;14;€150K - €650K;1;3;7;4;8;1;1;2;3;13;11;10;10;10;14;12;9;8;8;10;3;13;14;13;2;9;11;8;12;14;9;11;12;13;1;6;3;13;8;6;9
-;Wnt;Lewis Cook;Leader;28;D (R), DM, M (C);8;14;16;7;15;2;€50M - €60M;3;9;6;5;14;10;13;11;12;14;15;12;16;16;8;14;13;2;1;4;1;1;1;1;2;1;3;15;14;15;15;13;14;15;13;14;12;16;16;14;16
D (L);;Adrien Truffert;Technical;23;D/WB/M (L);13;14;15;5;14;3;€52M - €64M;6;12;9;5;14;12;13;16;8;12;15;15;12;15;8;15;14;3;1;2;3;2;1;3;2;1;2;13;14;14;12;14;14;12;13;9;14;15;14;13;15
S3;;Marcus Tavernier;Technical;26;M (LC), AM (RLC);10;16;8;10;12;3;€45M - €50M;6;11;6;11;13;10;14;12;14;10;15;14;10;13;10;14;15;1;1;1;1;2;2;3;1;2;2;10;14;11;10;10;11;12;14;12;15;10;16;11;15
S5;;James Hill;Physical;23;D (RC);13;13;13;7;12;1;€19M - €23M;16;9;13;7;12;7;10;9;7;13;14;13;14;13;14;12;14;1;1;1;2;3;2;2;1;1;1;11;13;12;12;13;14;13;8;13;12;13;14;11;14
AM (L);Wnt;Justin Kluivert;Creative;26;M (L), AM (RLC);3;17;6;13;13;2;€59M - €65M;2;13;7;8;15;14;15;10;9;8;12;16;12;12;7;16;17;3;4;1;1;1;1;2;3;1;1;16;12;13;13;11;13;15;16;7;14;6;12;14;13
ST (C);;Amine Adli;Technical;25;M (RL), AM (RLC), ST (C);7;14;8;12;13;1;€46M - €59M;6;11;12;12;13;12;15;11;12;10;12;15;12;12;10;16;16;3;1;2;1;2;3;1;1;1;2;13;13;12;12;11;11;14;16;7;13;7;13;12;14
D (C);;Bafodé Diakité;Physical;24;D (RC);15;12;14;9;14;3;€57M - €63M;13;8;15;4;12;12;10;13;5;15;14;13;14;14;14;13;13;1;2;2;3;1;3;2;2;3;3;12;14;13;15;12;12;15;13;13;13;13;13;9;13
-;Unr;Max Aarons;Technical;25;D/WB (R);11;14;14;5;12;3;€11M - €12M;6;7;9;6;12;5;14;9;4;10;14;14;15;14;7;14;14;3;3;1;3;1;2;1;1;2;2;8;11;11;15;12;12;17;11;6;11;13;15;12;15
-;Unr;Noa Boutin;Physical;22;D/WB (L);8;11;10;5;9;1;€10K - €70K;5;7;8;7;10;5;9;10;8;9;12;13;11;9;11;11;13;3;3;2;2;1;3;2;3;3;1;9;10;9;8;8;8;10;9;6;8;10;11;9;11
-;;Julio Soler;Physical;20;D/WB (L);12;13;10;13;10;2;€14.5M - €17M;8;10;6;10;12;9;13;11;8;11;13;15;12;13;8;15;15;3;3;2;3;3;1;3;1;1;3;10;12;14;14;12;12;15;8;12;12;11;12;10;14
-;Unr;Hamed Traoré;Technical;25;AM (LC);6;15;8;11;14;1;€28M - €30M;4;13;10;11;15;13;15;12;12;10;12;13;14;15;10;15;13;1;2;2;1;1;2;2;3;2;1;12;12;10;12;10;12;12;16;8;14;7;14;13;13
DM;;Tom Bischof;Leader;20;DM, M/AM (C);10;14;16;12;14;2;€59M - €82M;6;16;6;15;14;10;13;15;15;10;16;10;16;12;8;14;12;2;1;2;2;2;1;1;3;1;3;16;13;16;12;13;13;16;13;12;12;11;16;14;17
DM;PR;Xaver Schlager;Leader;27;DM, M (C);13;13;16;10;15;2;€33M - €44M;6;12;8;12;13;8;12;9;10;15;16;13;12;16;10;11;12;2;1;1;3;2;2;2;3;3;3;16;14;16;14;16;14;17;10;16;11;14;18;14;17
