Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;;ST (C);Striker;;AM (LC), ST (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Angola;Weak;France;False;Very Strong;175 cm;26;Okay;;Above Average;;;;;;;;;;;;;France;National 2 - B;;;;;;;FCSR Haguenau;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (C);Attacking midfielder;;M (C), AM (RLC);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Skill;Nigeria;Very Strong;France;True;Reasonable;178 cm;26;Scouting Required;;Very Low;;;;;;;;;;;;;France;National 2 - B;;;;;;;Blois Foot 41;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Forward;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Austria;Very Strong;France;;Weak;;;;;;;;;;;;;;;;;;France;Second Division;;;;;;;FC Rousset SVO;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Russia;Weak;France;;Very Strong;;;;;;;;;;;;;;;;;;France;National 2 - A;;;;;;;Red Star FC;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Weak;France;;Very Strong;;;;;;;;;;;;;;;;;;France;Bundesliga 2;;;;;;;FC Rouen;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Very Weak;France;;Very Weak;;;;;;;;;;;;;;;;;;Switzerland;Second League;;;;;;;Lugano;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Centre-back;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Pays Basque;Very Strong;Mali;;Weak;;;;;;;;;;;;;;;;;;France;National 3 - Group E;;;;;;;Bordeaux;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Centre-back;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Morocco;Very Strong;France;;Weak;;;;;;;;;;;;;;;;;;France;Second Division;;;;;;;GFA Rumilly-Vallières;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Weak;France;;Very Strong;;;;;;;;;;;;;;;;;;France;National 2 - A;;;;;;;Angoulême Charente FC;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Very Weak;France;;Very Weak;;;;;;;;;;;;;;;;;;Azerbaijan;National 2 - C;;;;;;;Qarabağ FK;;;;;;;;;;;;;;;;;;;;Scouting Required
;Beñat Turrientes;12;M (C);Midfielder;Yes;DM, M (C);14;13;8;13;12;14;13;10;12;14;;Unknown;Unknown;;;Unknown;Team Player;DR Congo;Very Strong;;True;Fairly Strong;179 cm;23;Okay;Extensive Knowledge;Average;13;6;15;1;15;7;1;14;10;12;10;8;;Regional Div. North;15;13;14;12;12;12;;13;10;12;13;11;14;12;14;4;3;3;4;3;1;1;3;3;1;€56M - €82M;Scouting Required
;Abdul Fatawu;17;AM (R);Winger;Yes;M/AM (R);15;11;8;11;15;11;12;11;6;14;;Unknown;Unknown;;;Unknown;Speed;Algeria;Weak;;False;Very Strong;177 cm;21;Superb;Extensive Knowledge;Above Average;7;10;12;6;14;5;2;12;13;16;12;11;;Regional Divisions;12;12;12;10;12;8;;11;15;11;10;14;12;10;12;2;1;1;3;2;1;3;3;2;3;€28M - €35M;Scouting Required
;Ander Barrenetxea;14;AM (L);Winger;Yes;M/AM (RL);14;15;8;13;15;13;12;10;8;15;;Unknown;Unknown;;;Unknown;Speed;Martinique;Very Strong;;True;Fairly Strong;175 cm;23;Okay;Extensive Knowledge;High;8;14;13;7;11;8;1;12;14;16;14;12;;;14;14;15;12;15;12;;13;15;13;14;12;13;12;13;1;1;1;3;3;1;1;3;4;2;€75M;Scouting Required
;Luiz Henrique;16;AM (R);Winger;Yes;AM (RL);15;14;12;15;15;14;12;8;7;17;;Unknown;Unknown;;;Unknown;Speed;France;Reasonable;Brazil;False;Very Strong;182 cm;24;Good;Extensive Knowledge;Very Low;11;13;14;7;13;11;2;13;10;17;11;10;;R1 - Hauts de France - A;12;12;12;11;13;8;;12;15;14;10;10;13;13;12;3;1;3;3;2;2;3;1;3;1;€31M - €45M;Scouting Required
;Fábio Carvalho;15;AM (L);Attacking midfielder;Yes;AM (RLC), ST (C);16;11;8;13;14;11;8;11;8;15;;Unknown;Unknown;;;Unknown;Speed;;Very Strong;;True;Reasonable;170 cm;23;Okay;Extensive Knowledge;Average;8;12;13;5;11;7;2;14;12;15;11;12;;National 3 - Group H;12;12;14;8;13;7;;12;15;14;11;12;13;13;11;3;3;3;2;1;3;3;2;2;3;€41M - €50M;Scouting Required
;Lutsharel Geertruida;13;D (C);Centre-back;Yes;D (RLC), WB (R), DM;13;15;13;14;13;14;14;8;13;13;;Unknown;Unknown;;;Unknown;Team Player;;Very Strong;;True;Reasonable;184 cm;25;Slightly Poor;Extensive Knowledge;Above Average;13;12;14;13;9;14;2;13;8;12;11;8;;;15;16;13;13;12;13;;12;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;€15.5M - €23M;Scouting Required
;Joshua Zirkzee;12;ST (C);Unpredictable striker;Yes;AM (C), ST (C);14;13;13;15;12;14;14;11;5;18;;Unknown;Unknown;;;Unknown;Unknown;;Very Strong;;True;Fairly Strong;193 cm;24;Fairly Good;Extensive Knowledge;Average;6;13;16;3;12;12;1;15;13;17;9;4;;Regional Divisions;12;18;16;6;14;9;;14;19;13;13;8;13;15;9;1;3;2;1;3;3;2;3;2;3;€52M - €77M;Scouting Required
;Amar Dedić;14;WB (R);Attacking full-back;Yes;D/WB (R);16;12;10;12;15;14;12;7;12;15;;Unknown;Unknown;;;Unknown;Speed;;Very Strong;;True;Fairly Strong;180 cm;23;Fair;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;;R1;15;9;13;11;16;12;;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;€18M - €22M;Scouting Required
;Malcom;16;AM (R);Winger;Yes;M (R), AM (RLC);17;16;6;13;11;12;10;14;5;16;;Unknown;Unknown;;;Unknown;Skill;;Fairly Strong;Brazil;False;Very Strong;171 cm;28;Superb;Extensive Knowledge;Very Low;5;10;15;6;14;9;1;16;14;17;13;14;;Ligue 1 McDonald's;11;10;15;7;16;8;;13;17;15;11;8;13;15;9;2;3;2;3;1;2;1;2;1;1;€51M - €62M;Scouting Required
Wnt;Mats Wieffer;13;DM;Tireless defensive midfielder;Yes;D (RC), DM, M (C);12;12;14;14;14;15;12;11;12;13;;Unknown;Unknown;;;Unknown;Team Player;Senegal;Very Strong;;True;Fairly Strong;188 cm;25;Fairly Good;Extensive Knowledge;Below Average;16;10;13;7;11;13;3;13;6;11;7;11;;Regional Divisions;16;16;14;12;12;13;;14;10;15;14;14;14;14;15;2;3;3;3;3;4;3;2;4;3;€45M - €53M;Scouting Required
;Eddie Nketiah;15;ST (C);Striker;Yes;AM (LC), ST (C);15;15;9;14;15;14;11;5;7;14;;Unknown;Unknown;;;Unknown;Speed;;Very Strong;;False;Fairly Strong;175 cm;26;Okay;Extensive Knowledge;Above Average;7;14;12;6;9;14;3;12;14;13;12;6;;National 3 - Group G;13;15;11;9;14;7;;11;15;14;11;13;14;13;12;2;3;1;1;3;2;2;1;1;3;€13M;Scouting Required
;Rodrigo Zalazar;11-17;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);11-15;16-20;5-11;11-17;12-16;11-15;10-14;14-18;5-11;14-18;;Unknown;Unknown;;;Unknown;Skill;;Very Strong;;True;Reasonable;178 cm;26;Scouting Required;Minimal Knowledge;Very Low;12-16;12-16;12-18;4-8;12-16;9-13;1-4;13-17;15-19;12-16;12-18;11-17;;;15-19;10-14;12-16;11-15;12-16;8-14;;10-14;12-18;16-20;5-11;16-20;10-14;8-12;16-20;1-3;1-4;1-4;3-7;2-6;1-4;1-5;1-2;1-4;1-7;€50M;Scouting Required
;;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;10;10;13;13;12;8;14;14;;Unknown;Unknown;;;Unknown;Intelligence;Austria;Very Strong;France;False;Reasonable;180 cm;25;Very Good;Extensive Knowledge;High;15;10;15;10;11;12;3;14;9;12;9;8;;Second Division;14;14;15;14;12;10;;13;10;15;13;14;13;15;14;2;4;3;1;1;1;2;2;3;2;€41M - €50M;Scouting Required
;;13;D (L);Full-back;Yes;D (LC), WB (L);12;12;11;15;12;14;12;10;11;13;;Unknown;Unknown;;;Unknown;Team Player;Russia;Reasonable;France;True;Very Strong;181 cm;22;Extremely Good;Extensive Knowledge;Average;13;5;12;12;9;11;1;12;8;12;12;12;;R1 - Paris IDF - A;15;14;12;10;12;10;;12;11;17;12;15;13;12;15;3;2;2;1;3;3;4;1;3;3;€14.5M - €22M;Scouting Required
;;8;GK;Strong goalkeeper;Yes;GK;15;12;14;11;7;12;15;6;1;12;;Unknown;Unknown;;;Unknown;Unknown;France;Very Strong;;False;Weak;190 cm;27;Good;Extensive Knowledge;Low;2;3;12;1;3;6;13;12;1;3;1;5;;R1 - Normandie - A;10;14;13;12;9;12;;12;10;17;12;12;12;13;15;15;11;14;15;10;15;14;15;10;14;€27M - €39M;Scouting Required
;;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;;False;Reasonable;182 cm;25;Fairly Okay;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;;Second League;12;15;15;8;16;8;;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;€46M - €57M;Scouting Required
;;18;AM (R);Winger;Yes;AM (RL);17;15;6;16;15;13;8;13;5;16;;Unknown;Unknown;;;Unknown;Speed;Pays Basque;Reasonable;Mali;True;Very Strong;170 cm;26;Really Good;Extensive Knowledge;Below Average;6;10;14;4;13;5;1;14;12;16;12;13;;National 2 - A;11;11;13;7;14;5;;12;15;12;11;14;13;13;9;3;3;3;1;2;4;1;3;3;3;€57M - €83M;Scouting Required
;;14;D (L);Full-back;Yes;D/WB (RL);14;11;11;13;14;13;11;9;12;13;;Unknown;Unknown;;;Unknown;Team Player;Morocco;Strong;France;False;Very Strong;185 cm;23;Quite Good;Extensive Knowledge;Above Average;12;8;12;11;13;11;3;12;9;14;13;11;;Second Division;14;15;13;13;12;8;;12;13;15;12;12;12;13;15;3;1;1;2;3;1;2;1;1;2;€64M - €79M;Scouting Required
;;14;M (C);Attacking midfielder;Yes;M (C), AM (RLC);13;15;12;13;13;16;12;9;8;14;;Unknown;Unknown;;;Unknown;Skill;;Very Strong;;False;Weak;180 cm;29;Okay;Extensive Knowledge;Below Average;11;11;14;4;13;8;2;13;13;14;14;9;;Malian Ligue 1;15;15;15;14;15;8;;15;15;15;13;9;14;13;10;1;2;4;1;1;1;1;2;1;2;€40M - €59M;Scouting Required
;;11;M (C);Tireless defensive midfielder;Yes;WB (RL), DM, M (C);10;13;8;19;10;16;13;9;13;14;;Unknown;Unknown;;;Unknown;Team Player;France;Very Strong;;False;Weak;176 cm;39;Fairly Good;Extensive Knowledge;High;13;16;14;13;7;9;1;15;11;9;12;13;;Premier League;17;18;12;13;12;17;;16;9;19;14;15;14;13;17;2;1;3;3;4;2;1;1;1;1;€350K - €3.6M;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Italy;Very Strong;France;;Reasonable;;;;;;;;;;;;;;;;;;France;R1 - Occitanie - A;;;;;;;Aviron Bayonnais;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Goalkeeper;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Portugal;Very Strong;France;;Fairly Strong;;;;;;;;;;;;;;;;;;France;National 3 - Group D;;;;;;;FC Versailles;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Ivory Coast;Very Strong;France;;Weak;;;;;;;;;;;;;;;;;;Netherlands;Eredivisie;;;;;;;Fortuna Sittard;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Winger;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Very Strong;France;;Fairly Strong;;;;;;;;;;;;;;;;;;France;National;;;;;;;SM Caen;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Full-back;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;France;Very Weak;France;;Very Weak;;;;;;;;;;;;;;;;;;Switzerland;Super League;;;;;;;;;;;;;;;;;;;;;;;;;;;Scouting Required
;Ander Barrenetxea;14;AM (L);Winger;Yes;M/AM (RL);14;15;8;13;15;13;12;10;8;15;A;Unknown;Unknown;;;Unknown;Speed;Martinique;Very Strong;Spain;True;Fairly Strong;175 cm;23;Okay;Extensive Knowledge;High;8;14;13;7;11;8;1;12;14;16;14;12;Spain;;14;14;15;12;15;12;Real San Sebastián;13;15;13;14;12;13;12;13;1;1;1;3;3;1;1;3;4;2;€75M;A
;Luiz Henrique;16;AM (R);Winger;Yes;AM (RL);15;14;12;15;15;14;12;8;7;17;A;Unknown;Unknown;;;Unknown;Speed;France;Reasonable;Brazil;False;Very Strong;182 cm;24;Good;Extensive Knowledge;Very Low;11;13;14;7;13;11;2;13;10;17;11;10;;R1 - Hauts de France - A;12;12;12;11;13;8;;12;15;14;10;10;13;13;12;3;1;3;3;2;2;3;1;3;1;€31M - €45M;A
;Fábio Carvalho;15;AM (L);Attacking midfielder;Yes;AM (RLC), ST (C);16;11;8;13;14;11;8;11;8;15;A;Unknown;Unknown;;;Unknown;Speed;England;Very Strong;;True;Reasonable;170 cm;23;Okay;Extensive Knowledge;Average;8;12;13;5;11;7;2;14;12;15;11;12;England;National 3 - Group H;12;12;14;8;13;7;;12;15;14;11;12;13;13;11;3;3;3;2;1;3;3;2;2;3;€41M - €50M;A
;Lutsharel Geertruida;13;D (C);Centre-back;Yes;D (RLC), WB (R), DM;13;15;13;14;13;14;14;8;13;13;A;Unknown;Unknown;;;Unknown;Team Player;;Very Strong;;True;Reasonable;184 cm;25;Slightly Poor;Extensive Knowledge;Above Average;13;12;14;13;9;14;2;13;8;12;11;8;England;;15;16;13;13;12;13;;12;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;€15.5M - €23M;A
;Joshua Zirkzee;12;ST (C);Unpredictable striker;Yes;AM (C), ST (C);14;13;13;15;12;14;14;11;5;18;A;Unknown;Unknown;;;Unknown;Unknown;;Very Strong;;True;Fairly Strong;193 cm;24;Fairly Good;Extensive Knowledge;Average;6;13;16;3;12;12;1;15;13;17;9;4;England;Regional Divisions;12;18;16;6;14;9;;14;19;13;13;8;13;15;9;1;3;2;1;3;3;2;3;2;3;€52M - €77M;A
;Amar Dedić;14;WB (R);Attacking full-back;Yes;D/WB (R);16;12;10;12;15;14;12;7;12;15;A;Unknown;Unknown;;;Unknown;Speed;;Very Strong;;True;Fairly Strong;180 cm;23;Fair;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;;R1;15;9;13;11;16;12;;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;€18M - €22M;A
;Malcom;16;AM (R);Winger;Yes;M (R), AM (RLC);17;16;6;13;11;12;10;14;5;16;A-;Unknown;Unknown;;;Unknown;Skill;;Fairly Strong;Brazil;False;Very Strong;171 cm;28;Superb;Extensive Knowledge;Very Low;5;10;15;6;14;9;1;16;14;17;13;14;;Ligue 1 McDonald's;11;10;15;7;16;8;;13;17;15;11;8;13;15;9;2;3;2;3;1;2;1;2;1;1;€51M - €62M;A-
Wnt;Mats Wieffer;13;DM;Tireless defensive midfielder;Yes;D (RC), DM, M (C);12;12;14;14;14;15;12;11;12;13;A-;Unknown;Unknown;;;Unknown;Team Player;Senegal;Very Strong;;True;Fairly Strong;188 cm;25;Fairly Good;Extensive Knowledge;Below Average;16;10;13;7;11;13;3;13;6;11;7;11;England;Regional Divisions;16;16;14;12;12;13;;14;10;15;14;14;14;14;15;2;3;3;3;3;4;3;2;4;3;€45M - €53M;A-
;Eddie Nketiah;15;ST (C);Striker;Yes;AM (LC), ST (C);15;15;9;14;15;14;11;5;7;14;A-;Unknown;Unknown;;;Unknown;Speed;Ghana;Very Strong;England;False;Fairly Strong;175 cm;26;Okay;Extensive Knowledge;Above Average;7;14;12;6;9;14;3;12;14;13;12;6;England;National 3 - Group G;13;15;11;9;14;7;;11;15;14;11;13;14;13;12;2;3;1;1;3;2;2;1;1;3;€13M;A-
;Rodrigo Zalazar;11-17;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);11-15;16-20;5-11;11-17;12-16;11-15;10-14;14-18;5-11;14-18;A-;Unknown;Unknown;;;Unknown;Skill;Spain;Very Strong;Spain;True;Reasonable;178 cm;26;Scouting Required;Minimal Knowledge;Very Low;12-16;12-16;12-18;4-8;12-16;9-13;1-4;13-17;15-19;12-16;12-18;11-17;;;15-19;10-14;12-16;11-15;12-16;8-14;;10-14;12-18;16-20;5-11;16-20;10-14;8-12;16-20;1-3;1-4;1-4;3-7;2-6;1-4;1-5;1-2;1-4;1-7;€50M;A-
Inj;Cheick Doucouré;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;10;10;13;13;12;8;14;14;A-;Unknown;Unknown;;;Unknown;Intelligence;Austria;Very Strong;;False;Reasonable;180 cm;25;Very Good;Extensive Knowledge;High;15;10;15;10;11;12;3;14;9;12;9;8;England;Second Division;14;14;15;14;12;10;;13;10;15;13;14;13;15;14;2;4;3;1;1;1;2;2;3;2;€41M - €50M;A-
;Victor Kristiansen;13;D (L);Full-back;Yes;D (LC), WB (L);12;12;11;15;12;14;12;10;11;13;A-;Unknown;Unknown;;;Unknown;Team Player;Russia;Reasonable;;True;Very Strong;181 cm;22;Extremely Good;Extensive Knowledge;Average;13;5;12;12;9;11;1;12;8;12;12;12;England;R1 - Paris IDF - A;15;14;12;10;12;10;Leicester;12;11;17;12;15;13;12;15;3;2;2;1;3;3;4;1;3;3;€14.5M - €22M;A-
;Aaron Ramsdale;8;GK;Strong goalkeeper;Yes;GK;15;12;14;11;7;12;15;6;1;12;A-;Unknown;Unknown;;;Unknown;Unknown;France;Very Strong;England;False;Weak;190 cm;27;Good;Extensive Knowledge;Low;2;3;12;1;3;6;13;12;1;3;1;5;England;R1 - Normandie - A;10;14;13;12;9;12;;12;10;17;12;12;12;13;15;15;11;14;15;10;15;14;15;10;14;€27M - €39M;A-
;Emile Smith Rowe;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;A-;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;England;False;Reasonable;182 cm;25;Fairly Okay;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;England;Second League;12;15;15;8;16;8;;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;€46M - €57M;A-
;Moussa Diaby;18;AM (R);Winger;Yes;AM (RL);17;15;6;16;15;13;8;13;5;16;A-;Unknown;Unknown;;;Unknown;Speed;Pays Basque;Reasonable;;True;Very Strong;170 cm;26;Really Good;Extensive Knowledge;Below Average;6;10;14;4;13;5;1;14;12;16;12;13;;National 2 - A;11;11;13;7;14;5;;12;15;12;11;14;13;13;9;3;3;3;1;2;4;1;3;3;3;€57M - €83M;A-
;Aaron Hickey;14;D (L);Full-back;Yes;D/WB (RL);14;11;11;13;14;13;11;9;12;13;A-;Unknown;Unknown;;;Unknown;Team Player;Morocco;Strong;;False;Very Strong;185 cm;23;Quite Good;Extensive Knowledge;Above Average;12;8;12;11;13;11;3;12;9;14;13;11;England;Second Division;14;15;13;13;12;8;;12;13;15;12;12;12;13;15;3;1;1;2;3;1;2;1;1;2;€64M - €79M;A-
;Alex Iwobi;14;M (C);Attacking midfielder;Yes;M (C), AM (RLC);13;15;12;13;13;16;12;9;8;14;A-;Unknown;Unknown;;;Unknown;Skill;England;Very Strong;;False;Weak;180 cm;29;Okay;Extensive Knowledge;Below Average;11;11;14;4;13;8;2;13;13;14;14;9;England;Malian Ligue 1;15;15;15;14;15;8;;15;15;15;13;9;14;13;10;1;2;4;1;1;1;1;2;1;2;€40M - €59M;A-
;James Milner;11;M (C);Tireless defensive midfielder;Yes;WB (RL), DM, M (C);10;13;8;19;10;16;13;9;13;14;A-;Unknown;Unknown;;;Unknown;Team Player;France;Very Strong;England;False;Weak;176 cm;39;Fairly Good;Extensive Knowledge;High;13;16;14;13;7;9;1;15;11;9;12;13;England;Premier League;17;18;12;13;12;17;;16;9;19;14;15;14;13;17;2;1;3;3;4;2;1;1;1;1;€350K - €3.6M;A-
Wnt;;11;DM;Defensive midfielder;Yes;DM, M (C);11;13;13;13;11;15;15;7;10;15;;Unknown;Unknown;;;Unknown;Athleticism;Italy;Very Strong;France;False;Fairly Strong;186 cm;23;Fairly Good;Extensive Knowledge;Above Average;10;12;15;9;10;11;2;14;9;12;14;12;Spain;R1 - Occitanie - A;13;13;12;14;13;12;;12;12;12;13;12;11;10;14;1;1;1;2;1;2;2;2;3;3;€11M - €13.5M;Scouting Required
;;17;D (L);Full-back;Yes;D/WB (L);13;13;13;14;17;16;14;7;12;13;;Unknown;Unknown;;;Unknown;Speed;England;Weak;England;False;Very Strong;183 cm;28;Fairly Good;Extensive Knowledge;Above Average;15;8;13;6;7;11;1;13;7;14;14;3;England;National 3 - Group D;17;14;12;14;13;14;;12;11;12;11;13;11;15;14;3;2;1;3;1;3;3;4;1;3;€57M - €68M;Scouting Required
;;14;DM;Midfielder;Yes;DM, M/AM (C);14;15;12;14;13;16;14;8;12;13;;Unknown;Unknown;;;Unknown;Team Player;Ivory Coast;Very Strong;France;False;Reasonable;184 cm;23;Quite Good;Extensive Knowledge;Average;13;9;13;8;10;10;2;14;9;13;7;7;England;;14;14;12;14;13;10;;12;13;16;15;11;15;16;16;2;1;2;2;2;1;3;3;1;2;€41M - €50M;Scouting Required
Loa;;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;6;15;;Marking;Unknown;;;Unknown;Speed;France;Fairly Strong;;True;Very Strong;185 cm;23;Fairly Okay;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;;13;13;13;6;14;9;Real San Sebastián;12;12;15;11;8;11;13;13;1;2;3;4;1;1;3;2;1;1;€24M - €28M;Scouting Required
;;13;DM;Defensive midfielder;Yes;DM, M (C);15;13;12;15;14;15;10;8;10;13;;Marking;Unknown;;;Unknown;Athleticism;France;Very Strong;France;True;Fairly Strong;183 cm;23;Very Good;Extensive Knowledge;Very Low;9;12;15;8;13;9;2;12;12;11;11;11;;;13;14;9;13;13;8;;13;11;13;7;13;14;15;11;3;1;3;1;3;1;3;2;2;2;€15M - €22M;Scouting Required
