Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Crysencio Summerville;18;AM (L);Winger;Yes;M (L), AM (RL);17;14;5;11;16;13;5;10;5;13;A;Intelligence;Unknown;;;Unknown;Speed;Suriname;Very Strong;Netherlands;True;Fairly Strong;174 cm;24;Fairly Good;Extensive Knowledge;Low;5;11;11;2;13;5;1;13;10;16;11;11;England;National 3 - Group A;12;10;11;4;12;5;West Ham;11;15;13;8;7;13;13;9;2;3;3;1;4;3;3;2;1;3;35M € - 42M €;A
;Lutsharel Geertruida;13;D (C);Centre-back;Yes;D (RLC), WB (R), DM;13;15;13;15;13;14;14;8;14;13;A;Unknown;Unknown;;;Unknown;Team Player;Curaçao;Very Strong;Netherlands;True;Reasonable;184 cm;25;Fairly Good;Extensive Knowledge;Very High;13;12;14;13;9;14;2;13;8;12;11;8;Germany;Bundesliga;15;16;14;14;12;13;RB Leipzig;13;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;9,2M € - 13,5M €;A
;Dilane Bakwa;16;AM (R);Winger;Yes;AM (RL);15;11;9;12;15;12;11;8;5;15;A;Unknown;Unknown;;;Unknown;Speed;Ivory Coast;Weak;France;True;Very Strong;179 cm;23;Okay;Extensive Knowledge;Average;5;8;13;6;8;8;3;16;10;16;14;7;England;Premier League;13;13;11;7;15;8;Nott'm Forest;11;17;13;12;8;14;13;13;3;1;1;3;2;1;2;3;2;2;34M € - 49M €;A
;Amar Dedić;14;WB (R);Attacking full-back;Yes;D/WB (R);16;12;10;12;15;14;12;7;12;15;A;Unknown;Unknown;;;Unknown;Speed;Austria;Very Strong;Austria;True;Fairly Strong;180 cm;23;Quite Good;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;Portugal;Premier League;15;9;13;11;16;12;Benfica;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;50M €;A
;Luka Sučić;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;7;15;A;Marking;Unknown;;;Unknown;Speed;Bosnia & Herzegovina;Fairly Strong;Austria;True;Very Strong;185 cm;23;Fairly Good;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;First Division;13;13;13;8;14;10;Real San Sebastián;13;12;15;12;8;13;13;13;1;2;3;4;1;1;3;2;1;1;17,5M € - 21M €;A
;Haissem Hassan;16;AM (R);Winger;Yes;M (R), AM (RL);14;13;9;14;16;13;10;8;7;15;A;Team Player;Unknown;;;Unknown;Speed;Tunisia;Reasonable;France;True;Very Strong;178 cm;24;Fairly Poor;Extensive Knowledge;Average;7;11;12;7;9;7;2;15;10;17;12;9;Spain;First Division;10;9;11;10;12;9;Oviedo;10;16;13;9;5;9;9;7;1;1;1;2;2;2;3;2;3;3;6,2M €;A
;Ilaix Moriba;12;DM;Defensive midfielder;Yes;DM, M/AM (C);13;14;13;12;12;15;14;12;13;15;A;Unknown;Unknown;;;Unknown;Team Player;Spain;Very Strong;Guinea;True;Fairly Strong;185 cm;23;Good;Extensive Knowledge;Average;16;12;14;6;13;12;1;14;10;14;10;12;Spain;First Division;15;13;14;14;12;7;Vigo;13;16;13;14;16;14;14;16;1;3;3;3;3;3;1;3;1;3;30M €;A
;Matthis Abline;15;AM (L);Forward;Yes;AM (L), ST (C);14;12;9;13;16;13;12;12;6;14;A;Unknown;Unknown;;;Unknown;Speed;DR Congo;Very Strong;France;True;Reasonable;179 cm;23;Fairly Good;Extensive Knowledge;Below Average;6;13;13;5;11;10;2;13;13;13;13;10;France;Ligue 1 McDonald's;13;13;14;8;14;11;FC Nantes;13;13;13;12;10;14;14;13;2;2;2;3;3;2;1;4;2;1;7,8M € - 11,5M €;A
;Djed Spence;17;D (R);Full-back;Yes;D/WB (RL);14;12;12;13;15;16;13;6;13;10;A;Heading;Unknown;;;Unknown;Speed;Kenya;Very Strong;England;False;Reasonable;184 cm;25;Really Good;Extensive Knowledge;Below Average;15;6;10;10;7;7;1;10;11;10;12;6;England;Second Division;12;12;11;12;13;7;Spurs;11;13;10;14;11;14;15;11;1;1;2;1;1;3;3;3;4;3;22M € - 32M €;A
Bid;Kaishu Sano;14;DM;Tireless defensive midfielder;Yes;DM, M (C);13;16;13;18;15;17;14;6;13;12;A;Unknown;Unknown;;;Unknown;Team Player;U.S.A.;Very Strong;Japan;False;Reasonable;176 cm;25;Okay;Extensive Knowledge;Average;14;10;12;10;8;12;1;12;7;13;8;6;Germany;Bundesliga;18;17;12;13;11;10;1. FSV Mainz 05;13;12;17;16;15;12;16;16;2;3;1;1;4;2;3;3;1;2;19,5M €;A
Wnt;Nasser Djiga;13;D (C);Centre-back;Yes;D (C);13;15;15;15;14;15;17;6;15;11;A;Unknown;Unknown;;;Unknown;Athleticism;Serbia;Very Strong;Burkina Faso;False;Fairly Strong;191 cm;23;Slightly Poor;Extensive Knowledge;Below Average;14;8;11;8;10;15;3;10;5;9;4;4;England;Premier League;12;11;9;14;9;9;Wolves;12;7;11;15;14;12;13;12;1;3;3;4;2;2;1;1;3;3;21M € - 25M €;A
;Abdul Fatawu;17;AM (R);Winger;Yes;M/AM (R);15;12;8;11;16;11;12;11;7;15;A;Unknown;Unknown;;;Unknown;Speed;Curaçao;Weak;Ghana;False;Very Strong;177 cm;22;Okay;Extensive Knowledge;Above Average;8;10;12;6;14;5;2;12;13;16;12;11;England;Sky Bet Championship;12;12;13;10;12;8;Leicester;12;15;11;10;14;12;11;12;2;1;1;3;2;1;3;3;2;3;30M €;A
Wnt;Jaka Bijol;12;D (C);Towering centre-back;Yes;D (C);10;14;16;17;13;13;18;6;14;11;A;Unknown;Unknown;;;Unknown;Heading;Tunisia;Very Strong;Slovenia;True;Weak;190 cm;27;Okay;Extensive Knowledge;Average;15;7;12;9;9;18;3;12;9;7;7;4;England;Sky Bet Championship;14;15;8;14;8;14;Leeds;14;7;15;15;16;13;15;13;3;1;2;1;2;3;1;2;1;2;33M €;A
;Nicolò Savona;14;D (R);Full-back;Yes;D (RC), WB (R);14;13;13;15;14;14;13;7;14;13;A;Unknown;Unknown;;;Unknown;Team Player;;Very Strong;Italy;True;Weak;192 cm;23;Fairly Good;Extensive Knowledge;Above Average;13;5;13;14;11;13;3;14;10;13;13;8;England;Premier League;15;15;13;14;15;9;Nott'm Forest;11;5;9;13;12;14;15;13;2;2;1;2;3;3;2;1;3;1;39M € - 47M €;A
;Victor Aznar;7-9;GK;Goalkeeper;Yes;GK;13;13;12-15;12-14;8-10;12-14;10-13;6-8;2-5;8-10;A;Unknown;Unknown;;;Unknown;One On Ones;Spain;Very Strong;Brazil;True;Weak;189 cm;23;Scouting Required;Marginal Knowledge;Below Average;1-3;3-5;7-9;1-3;1-3;6-8;12;7-10;2-4;1-3;1;4-7;Brazil;R1 - Nelle Aquitaine - B;14-16;13-15;9-11;13;7-9;12;FLU;12;7-10;11-14;12;10-12;12;13;12;11;8;13;15;6;16;13;12;8;11;325K € - 3,2M €;A
;Wilfried Gnonto;16;AM (L);Winger;Yes;AM (RLC), ST (C);16;18;5;17;14;11;14;5;3;15;A;Intelligence;Unknown;;;Unknown;Speed;Ivory Coast;Very Strong;Italy;True;Reasonable;170 cm;22;Slightly Poor;Extensive Knowledge;Below Average;5;10;11;2;9;8;2;14;13;13;11;6;England;Sky Bet Championship;12;14;10;8;14;5;Leeds;8;15;15;13;14;11;12;12;3;3;4;3;2;1;1;2;3;2;25M € - 36M €;A
;Pierre-Emile Højbjerg;8-11;DM;Midfield general;Yes;DM, M (C);11-14;12-16;11-15;14-17;12-15;15-18;12-16;11-15;9-13;14-17;A;Unknown;Unknown;;;Unknown;Team Player;France;Very Strong;Denmark;True;Reasonable;185 cm;30;Scouting Required;Minimal Knowledge;Below Average;13-16;13-16;12-15;7-11;12-15;6-9;1-2;12-16;9-13;11-14;9-12;10-14;France;Ligue 1 McDonald's;16-19;13-16;11-14;10-14;13-16;14-17;Olympique de Marseille;12-15;10-14;13-17;14-18;14-17;11-15;14-17;13-17;1-4;1-4;1-4;1-3;2-5;2-6;3-6;3-6;1-5;1-3;18,5M € - 27M €;A
;Nikola Milenković;13;D (C);Powerful centre-back;Yes;D (C);12;14;17;16;15;13;16;6;15;14;A-;Unknown;Unknown;;;Unknown;Heading;England;Very Strong;Serbia;False;Weak;195 cm;28;Good;Extensive Knowledge;Below Average;15;6;13;9;5;16;2;12;10;8;8;5;England;Premier League;15;15;11;14;8;11;Nott'm Forest;14;7;15;13;17;12;15;15;2;2;2;3;1;3;1;3;1;2;33M € - 40M €;A-
;Anthony Rouault;13;D (C);Centre-back;Yes;D (RC), WB (R);12;13;14;12;13;13;13;4;14;12;A-;Unknown;Unknown;;;Unknown;Team Player;Germany;Very Strong;France;True;Reasonable;186 cm;25;Fairly Good;Extensive Knowledge;Above Average;14;6;14;10;6;14;3;12;6;11;8;3;France;Ligue 1 McDonald's;13;15;13;14;9;12;Rennes;13;8;14;14;13;15;15;15;3;1;1;2;1;1;4;3;4;3;11M € - 13,5M €;A-
;Iván Martín;13;DM;Defensive midfielder;Yes;DM, M/AM (C);13;11;9;13;14;13;12;12;11;15;A-;Unknown;Unknown;;;Unknown;Intelligence;France;Fairly Strong;Spain;True;Very Strong;178 cm;27;Quite Good;Extensive Knowledge;Below Average;12;12;14;8;10;10;2;14;12;15;14;12;Spain;Lower Saxony;13;13;15;13;12;11;Girona;15;13;16;13;12;13;12;13;3;2;2;3;1;3;3;1;4;2;35M € - 51M €;A-
Loa;William Osula;15;ST (C);Forward;Yes;AM (RL), ST (C);14;12;12;13;16;13;14;6;8;12;A-;Intelligence;Unknown;;;Unknown;Speed;Nigeria;Very Strong;Denmark;True;Fairly Strong;186 cm;22;Very Good;Extensive Knowledge;Below Average;6;7;9;4;8;12;1;12;13;13;10;7;England;Premier League;15;14;8;8;12;6;Newcastle;11;13;11;9;12;12;11;14;1;3;3;3;1;2;1;1;2;3;9,8M € - 11,5M €;A-
;Raúl García;13;ST (C);Striker;Yes;ST (C);14;12;15;14;13;13;13;7;5;13;A-;Unknown;Unknown;;;Unknown;Heading;Spain;Very Strong;Spain;True;Reasonable;191 cm;25;Fairly Good;Extensive Knowledge;Above Average;7;16;12;7;10;14;2;12;16;13;10;7;Spain;First Division;13;12;11;10;15;10;Atlético Pamplona;12;10;13;12;12;14;12;12;2;3;4;2;2;4;1;3;1;1;11,5M € - 14M €;A-
;Brian Brobbey;14;ST (C);Striker;Yes;ST (C);14;16;12;14;14;14;18;12;5;14;A-;Unknown;Unknown;;;Unknown;Team Player;Ghana;Very Strong;Netherlands;True;Fairly Strong;180 cm;24;Fairly Poor;Extensive Knowledge;High;4;10;11;4;12;12;3;13;13;11;6;7;England;Sky Bet Championship;17;14;11;5;14;8;Sunderland;15;15;14;12;6;12;13;17;1;2;3;1;1;3;1;3;1;4;22M € - 33M €;A-
Wnt;Jorge Cuenca;15;D (C);Centre-back;Yes;D (C);12;12;14;14;15;12;15;6;14;12;A-;Unknown;Unknown;;;Unknown;Speed;Suriname;Reasonable;Spain;True;Very Strong;189 cm;26;Fairly Poor;Extensive Knowledge;Average;15;6;13;9;8;13;4;15;7;9;7;7;England;Sky Bet Championship;14;14;12;14;8;9;Fulham;13;7;14;14;12;14;14;13;2;4;1;3;4;2;4;1;2;2;16,5M €;A-
;Sergio Arribas;15;AM (C);Attacking midfielder;Yes;M (RC), AM (RLC);13;12;7;10;14;12;11;16;7;15;A-;Unknown;Unknown;;;Unknown;Speed;Morocco;Fairly Strong;Spain;True;Very Strong;173 cm;24;Fair;Extensive Knowledge;Above Average;5;13;13;4;13;6;3;14;14;13;14;15;Spain;Second Division;12;14;14;11;12;7;Almería;13;16;11;11;9;11;11;9;2;2;2;2;3;1;3;1;1;2;17M € - 20M €;A-
;Ricardo Pepi;12-16;ST (C);Striker;Yes;ST (C);10-13;15-18;11-15;11-15;13-17;13-16;10-13;9-12;4-8;12-15;A-;Unknown;Unknown;;;Unknown;Heading;Mexico;Very Strong;U.S.A.;False;Fairly Strong;185 cm;23;Scouting Required;Minimal Knowledge;Very Low;3-7;11-14;9-13;7-10;9-12;13-17;1-3;13-16;16-19;9-12;8-12;6-10;Netherlands;Eredivisie;12-15;11-15;10-14;7-10;11-14;8-12;PSV;13-16;12-16;11-14;10-14;10-14;14-17;11-14;12-15;2-5;1-5;1-3;1-4;1-2;1-5;1-3;1-3;1-2;1-4;31M € - 50M €;A-
;Robin Roefs;13;GK;Goalkeeper;Yes;GK;14;13;15;12;12;7;11;7;1;13;A-;Unknown;Unknown;;;Unknown;Handling;Ivory Coast;Weak;Netherlands;True;Very Strong;193 cm;23;Fair;Extensive Knowledge;Below Average;3;3;7;3;3;5;12;7;1;3;3;4;England;Sky Bet Championship;12;13;12;13;2;9;Sunderland;12;11;15;14;13;14;16;11;12;12;15;13;8;14;15;14;13;17;25M € - 30M €;A-
;Maarten Vandevoordt;8;GK;Goalkeeper;Yes;GK;15;13;16;14;8;10;13;5;1-4;12;A-;Unknown;Unknown;;;Unknown;Kicking;Curaçao;Very Strong;Belgium;True;Weak;192 cm;24;Quite Good;Reasonable Knowledge;Below Average;1-3;1-3;10-12;1-3;2-4;6-8;13;11;2-4;2-4;1-2;2-5;Germany;Bundesliga;13;12;12;14;8;12;RB Leipzig;13;10;14;12;13;13;14;14;16;14;15;15;6;14;13;15;13;13;5,6M € - 7,2M €;A-
;Lamare Bogarde;13;DM;Centre-back;Yes;D (RC), DM, M (C);13;13;12;13;12;12;12;11;12;13;A-;Intelligence;Unknown;;;Unknown;Team Player;Suriname;Very Strong;Netherlands;True;Reasonable;183 cm;22;Fairly Good;Extensive Knowledge;Below Average;14;11;13;5;10;12;3;13;8;11;8;7;England;National 3 - Group A;15;15;12;13;9;12;Aston Villa;11;8;12;12;12;13;13;12;2;2;2;3;1;3;2;1;2;3;9M € - 13M €;A-
Wnt;Oscar Bobb;15;AM (R);Attacking midfielder;Yes;M (RC), AM (RLC), ST (C);15;11;7;14;14;13;8;10;8;14;A-;Unknown;Unknown;;;Unknown;Speed;The Gambia;Fairly Strong;Norway;True;Very Strong;174 cm;22;Poor;Extensive Knowledge;Above Average;5;9;12;3;10;6;3;13;10;15;10;11;England;Sky Bet Championship;14;13;13;12;13;7;Fulham;13;15;13;12;12;14;13;11;1;2;3;3;2;3;1;4;4;3;34M €;A-
;Romaine Mundle;14;AM (R);Winger;Yes;M (L), AM (RLC);13;15;9;15;14;12;13;11;11;12;A-;Unknown;Unknown;;;Unknown;Speed;Jamaica;Very Strong;England;False;Fairly Strong;180 cm;23;Slightly Poor;Extensive Knowledge;High;11;9;10;5;12;6;1;12;12;15;12;10;England;Sky Bet Championship;14;9;13;10;11;8;Sunderland;12;14;6;9;14;11;12;10;3;2;3;4;2;2;1;3;3;2;12M € - 18M €;A-
;Antonee Robinson;17;D (L);Full-back;Yes;D/WB (L);14;13;13;14;17;16;14;7;12;13;A-;Unknown;Unknown;;;Unknown;Speed;England;Weak;England;False;Very Strong;183 cm;28;Fairly Poor;Extensive Knowledge;Above Average;15;8;13;6;7;11;1;13;7;14;14;3;England;Sky Bet Championship;17;14;12;14;13;14;Fulham;12;11;12;11;13;11;15;14;3;2;1;3;1;3;3;4;1;3;47M € - 56M €;A-
;Nikola Vlašić;14;AM (C);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);14;15;10;17;13;12;12;13;7;15;A-;Team Player;Unknown;;;Unknown;Skill;Tunisia;Very Strong;Croatia;True;Reasonable;178 cm;28;Fairly Okay;Extensive Knowledge;Below Average;11;14;15;4;14;10;3;15;13;14;12;12;Italy;Serie A;12;11;13;9;14;13;Torino;15;14;17;12;14;14;15;11;2;3;1;2;1;2;2;3;2;3;22M € - 32M €;A-
;Maxim De Cuyper;14;D (L);Full-back;Yes;D/WB/M/AM (L);14;11;12;13;14;13;10;8;11;14;A-;Marking;Unknown;;;Unknown;Team Player;Bosnia & Herzegovina;Reasonable;Belgium;True;Very Strong;182 cm;25;Really Good;Extensive Knowledge;Average;14;13;14;10;12;11;2;13;11;11;14;13;England;Premier League;13;16;14;11;13;11;Brighton;13;13;13;12;12;14;11;15;1;2;1;1;1;2;1;2;1;3;20M €;A-
Wnt;Flavien-Enzo Boyomo;14;D (C);Centre-back;Yes;D (RC);13;12;13;14;15;14;14;6;14;14;A-;Unknown;Unknown;;;Unknown;Marking;France;Very Strong;France;True;Fairly Strong;184 cm;24;Good;Extensive Knowledge;Low;15;8;14;9;9;13;3;13;6;12;11;6;Spain;First Division;15;14;13;16;9;11;Atlético Pamplona;13;6;14;16;14;14;15;15;2;2;2;1;2;1;4;1;2;1;25M €;A-
;Ronnie Edwards;12;DM;Centre-back;Yes;D (C), DM;12;13;10;14;11;15;12;6;13;13;A-;Unknown;Unknown;;;Unknown;Team Player;Curaçao;Very Strong;England;False;Strong;185 cm;23;Good;Extensive Knowledge;Below Average;14;6;15;6;7;12;1;15;10;12;6;4;England;Sky Bet Championship;14;15;14;13;9;12;QPR;14;10;16;13;12;15;13;13;1;3;1;3;3;3;3;1;2;1;8,4M € - 12,5M €;A-
;Hayden Hackney;11;M (C);Midfielder;Yes;DM, M (C);14;13;9;12;11;14;11;11;12;14;A-;Unknown;Unknown;;;Unknown;Team Player;Scotland;Very Strong;England;False;Reasonable;178 cm;24;Really Good;Extensive Knowledge;Average;11;10;15;5;13;9;1;13;11;13;11;9;England;Sky Bet Championship;14;14;15;14;13;13;Middlesbrough;14;12;13;14;11;14;13;15;2;1;1;1;1;4;3;1;2;2;16M € - 23M €;A-
;Álvaro Fidalgo;14;M (C);Attacking midfielder;Yes;DM, M (C), AM (LC);15;13;6;13;14;14;7;8;7;15;A-;Marking;Unknown;;;Unknown;Skill;Spain;Very Strong;Spain;True;Reasonable;166 cm;29;Good;Extensive Knowledge;Below Average;6;10;17;12;12;6;2;15;12;15;13;10;Spain;First Division;13;14;17;11;14;13;Real Hispalis;14;16;16;12;12;12;15;12;3;1;1;3;2;1;1;3;2;3;26M € - 38M €;A-
Set;Hannibal;13;AM (C);Attacking midfielder;Yes;M/AM (C);14;13;11;15;14;16;11;13;5;15;A-;Unknown;Unknown;;;Unknown;Athleticism;France;Very Strong;France;True;Reasonable;182 cm;23;Perfect;Extensive Knowledge;Below Average;9;11;13;3;10;6;2;14;10;14;11;14;England;Second Division;16;12;12;7;12;6;Burnley;10;16;12;11;16;13;13;13;3;3;1;2;3;1;2;3;1;2;28M € - 33M €;A-
;Malo Gusto;17;WB (R);Attacking full-back;Yes;D/WB (R);14;12;10;15;16;15;12;6;12;13;A-;Unknown;Unknown;;;Unknown;Speed;Portugal;Very Strong;France;True;Reasonable;179 cm;23;Really Good;Extensive Knowledge;Above Average;13;6;12;10;9;10;1;12;6;10;15;6;England;Premier League;17;17;11;11;14;8;Chelsea;14;12;15;9;13;12;12;14;2;1;3;2;2;2;3;3;1;1;29M € - 43M €;A-
;Javi Puado;15;AM (L);Winger;Yes;AM (RLC), ST (C);15;11;10;13;14;13;12;8;8;14;A-;Unknown;Unknown;;;Unknown;Speed;Ivory Coast;Very Strong;Spain;True;Fairly Strong;179 cm;28;Okay;Extensive Knowledge;Above Average;8;12;13;5;13;9;3;12;14;13;11;8;Spain;First Division;14;13;13;8;16;15;Espanyol;15;13;14;12;10;14;13;12;2;3;1;1;1;2;3;1;2;1;43M € - 52M €;A-
;Lucien Agoumé;13;DM;Defensive midfielder;Yes;DM, M (C);13;14;12;16;14;16;14;10;12;12;A-;Unknown;Unknown;;;Unknown;Team Player;France;Very Strong;Cameroon;True;Reasonable;185 cm;24;Really Good;Extensive Knowledge;Below Average;14;8;13;6;11;13;2;13;7;12;8;10;Spain;R1 - Nelle Aquitaine - B;16;15;12;13;12;10;Sevilla;14;11;14;14;13;13;14;15;2;2;1;2;2;2;2;2;2;1;36M € - 42M €;A-
;Edoardo Bove;13;M (C);Midfielder;Yes;DM, M/AM (C);13;13;8;11;11;11;12;7;12;14;A-;Unknown;Unknown;;;Unknown;Team Player;;Very Strong;Italy;True;Reasonable;176 cm;24;Fairly Good;Extensive Knowledge;Average;14;9;14;4;10;8;1;14;11;12;10;8;England;Sky Bet League One;16;15;13;14;14;9;Watford;14;13;16;13;14;14;13;16;1;3;1;2;3;3;3;1;2;1;16M €;A-
